
"UC Santa Barbara",109.57821666667,98.083516666667,0.78149872412943,3–7,3,10,49.6,45.4,29,48.9,18.1,17,31.1,30.7,63.8,46,44,38.3,32.4,13.4,8.3,59.1,56.5,31.4,31.7,64.3,,,,2015,,,,-3.1217840384527,72.2,74
"Arkansas Pine Bluff",88.073775891611,104.62643786124,0.12126057891143,3–11,3,14,42.6,55.1,34,47.3,25,25.4,28.6,40.4,64.6,39,51.8,32.6,39.6,9.6,9,46.5,68,37,43.1,65.1,,,,2015,,,,-6.7594775003091,68.3,69.4
Toledo,111.68124761055,100.17333471688,0.77740162023574,7–5,7,12,53.3,49.7,38.9,32.7,19.3,19.9,33.1,32,69,51.3,48.3,38.4,34.8,8.6,8,53.6,55.5,32,35.9,68.4,,,,2015,,,,-1.5601585412824,76,69.8
Indiana,118.23642715393,101.90738151078,0.8467261883987,11–3,11,14,57.2,47.4,38.1,26.2,17.3,16.5,36.3,32.5,70.6,54.8,47.7,40.8,31.1,8.2,9.5,51.4,42.3,37.2,28.3,70,,,,2015,,,,0.37211649987752,71.3,59.7
Louisiana,96.42574074042,96.847022244654,0.48746918494266,4–5,4,9,49.1,46.4,39.4,37.6,23.1,18.7,32.6,30.4,74.6,49.1,47.2,32.5,29.7,9.1,9.8,53.5,41.7,23.6,29.5,73.2,,,,2015,,,,-3.2490653796746,69.5,69
"Central Michigan",117.09353129029,101.97119084957,0.83065141696322,7–1,7,8,58.8,46.3,40,34.6,16.6,18.3,32.1,26.4,65.5,54.8,47.8,42,29.2,8.1,8.6,57.1,41.8,49,37.2,65.9,,,,2015,,,,-0.18223665274956,75.1,66.7
Brown,98.44036471404,105.10109808314,0.32018415152719,6–7,6,13,48.4,48.9,44,31.7,24.4,17.9,32.9,33.8,68.4,46.8,47.5,34.6,34.8,10,12.3,49.7,49,31.9,29,68.8,,,,2015,,,,-4.1168925683303,72.9,71
"Wright St.",99.941782875642,101.83429463837,0.44627582684753,6–6,6,12,49.5,52.2,30.9,40.7,18.6,20.4,25.1,29.5,66.2,49.5,52.1,33,34.8,5.6,12.6,51.6,47.6,40,31.6,65.4,,,,2015,,,,-3.028109808897,72.1,72.5
"UC Irvine",101.28659090909,96.125712121212,0.64598059980043,5–6,5,11,49.3,45.8,31.8,41,20.5,20.1,31.3,32.5,65.7,48.9,44.6,33.5,32.4,11.1,9,52.8,51.6,31.3,30.5,65.9,,,,2015,,,,-2.7663017002758,69.6,69.8
Montana,103.98425925926,108.16972222222,0.3884546803761,2–7,2,9,50.8,55.1,32.8,48.4,17.1,20.1,25.6,31.7,64.1,51.7,53.1,33,38.9,7.6,8,50.5,56.8,42.7,37.6,64,,,,2015,,,,-4.0581677083492,66.1,73.8
