"","team_id","team_name"
"243",2755,"Grambling"
"244",2640,"Texas Southern"
"245",2504,"Prairie View"
"246",47,"Howard"
"247",2065,"Bethune"
"248",2430,"UNC Greensboro"
"249",2368,"Marist"
"250",2612,"Saint Peter's"
"251",305,"DePaul"
"252",62,"Hawai'i"
"253",302,"UC Davis"
"254",288,"Lipscomb"
"255",3084,"Utah Valley"
"256",147,"Montana St"
"257",149,"Montana"
"258",2571,"S Dakota St"
"259",2546,"SE Missouri St"
"260",2433,"UL Monroe"
"261",2197,"E Illinois"
"262",2739,"Green Bay"
"263",339,"Evansville"
"264",140,"Kansas City"
"265",2449,"N Dakota St"
"266",43,"Yale"
"267",2229,"FIU"
"268",2127,"Charleston So"
"269",164,"Rutgers"
"270",526,"FGCU"
"271",2754,"Youngstown St"
"272",2198,"E Kentucky"
"273",2110,"C Arkansas"
"274",172,"Cornell"
"275",171,"Columbia"
"276",161,"Fair Dickinson"
"277",151,"East Carolina"
"278",225,"Brown"
"279",38,"Colorado"
"280",2908,"SC Upstate"
"281",2379,"MD-Eastern"
"282",119,"Towson"
"283",2459,"N Illinois"
"284",349,"Army"
"285",112358,"Long Island"
"286",256,"James Madison"
"287",139,"Saint Louis"
"288",2678,"VMI"
"289",189,"Bowling Green"
"290",152,"NC State"
"291",2382,"Mercer"
"292",2217,"Fairfield"
"293",2032,"Arkansas St"
"294",2643,"The Citadel"
"295",2717,"W Carolina"
"296",2635,"Tennessee Tech"
"297",2597,"St Francis BK"
"298",2542,"Savannah State"
"299",2405,"Monmouth"
"300",2115,"C Connecticut"
"301",311,"Maine"
"302",160,"New Hampshire"
"303",104,"Boston Univ"
"304",2653,"Troy"
"305",2460,"Northern Iowa"
"306",2130,"Chicago St"
"307",250,"UT Arlington"
"308",2247,"Georgia St"
"309",2182,"Drexel"
"310",2066,"Binghamton"
"311",107,"Holy Cross"
"312",2724,"Wichita St"
"313",2097,"Campbell"
"314",2172,"Denver"
"315",2458,"N Colorado"
"316",2241,"Gardner-Webb"
"317",55,"J'Ville St"
"318",2099,"Canisius"
"319",2598,"St Francis PA"
"320",2113,"Centenary LA"
"321",2454,"North Florida"
"322",2174,"Detroit Mercy"
"323",2870,"Purdue FW"
"324",2515,"Radford"
"325",2514,"Quinnipiac"
"326",2351,"LMU"
"327",322,"Lafayette"
"328",2344,"Longwood"
"329",2350,"Loyola Chicago"
"330",2428,"NC Central"
"331",2083,"Bucknell"
"332",2634,"Tennessee St"
"333",324,"Coast Car"
"334",231,"Furman"
"335",331,"E Washington"
"336",2710,"W Illinois"
"337",2535,"Samford"
"338",338,"Kennesaw St"
"339",2885,"NJIT"
"340",2506,"Presbyterian"
"341",292,"UT Rio Grande"
"342",2503,"PR Mayaguez"
"343",2494,"Philander Smith"
"344",1,"AK-Anchorage"
"345",2124,"Chaminade"
"346",298,"Alaska"
"347",612,"Simpson"
"348",2611,"St. Pauls "
"349",155,"North Dakota"
"350",233,"South Dakota"
"351",2547,"Seattle U"
"352",2565,"SIUE"
"353",2277,"Hou Christian"
"354",2803,"Bryant"
"355",2587,"SW MN St"
"356",2889,"PRBayamo"
"357",435,"University of Puerto"
"358",2489,"Palm Beach Atl"
"359",3078,"William Jessup"
"360",2704,"WTexAM"
"361",229,"Coker College"
"362",2742,"WI Parkside"
"363",430,"Post"
"364",303,"Rollins "
"365",2804,"Chowan"
"366",3066,"Concordia-St. P"
"367",2392,"Michigan Tech"
"368",2475,"Occidental"
"369",3157,"Ark Fort Smith"
"370",2028,"Ark Monticello"
"371",3173,"Pensacola"
"372",3129,"Victory College"
"373",3170,"St. Thomas (TX)"
"374",2163,"Dallas"
"375",2938,"Huntingdon"
"376",3117,"Carver College"
"377",2957,"Dominican (CA)"
"378",2410,"Montreat "
"379",2947,"Rochester Univ."
"380",241,"McMurry"
"381",3105,"Southeastern"
"382",2691,"Webber Int"
"383",2863,"CS Monterey Bay"
"384",3,"Birm-Southern"
"385",2401,"MS College"
"386",2347,"LA Christian"
"387",3134,"Champ. Christ."
"388",2437,"Omaha"
"389",2048,"Avila"
"390",2687,"Washburn"
"391",3065,"Briar Cliff"
"392",3094,"Joh. & Wales CO"
"393",2267,"Hawaii-Hilo"
"394",2642,"TX Wesleyan"
"395",491,"Benedictine"
"396",3167,"La Sierra"
"397",2695,"West Alabama"
"398",129,"SagValSt"
"399",2177,"Dist of Col"
"400",94,"N Kentucky"
"401",65,"Grinnell"
"402",2133,"Claflin"
"403",2253,"Grand Canyon"
"404",2000,"Abilene Chrstn"
"405",2349,"UMass Lowell"
"406",2916,"Incarnate Word"
"407",3141,"No New Mexico"
"408",2588,"Southwestern TX"
"409",2703,"W New Mexico"
"410",2389,"Metro State"
"411",2281,"Hus-Till"
"412",386,"Trinity (TX)"
"413",60,"Morehouse"
"414",585,"Northwood"
"415",108817,"LSU Alexandria"
"416",2827,"Rowan"
"417",108806,"Mid-Atl Chr"
"418",3178,"Ave Maria"
"419",2856,"CA Baptist"
"420",2453,"North Alabama"
"421",3154,"Southwest"
"422",6183,"Humboldt St"
"423",3101,"Utah Tech"
"424",28,"UC San Diego"
"425",91,"Bellarmine"
"426",2627,"Tarleton"
"427",2771,"Merrimack"
"428",2716,"Westmont"
"429",111946,"Carver"
"430",107730,"Florida Natl"
"431",3188,"AZ Christian"
"432",2511,"Queens"
"433",2900,"St Thomas (MN)"
"434",111982,"Virgin Islands"
"435",88,"So Indiana"
"436",2540,"Santa Barbara"
"437",2627,"Tarleton St"
"438",116,"Mount St Marys"
"439",2837,"Texas A&M-Comm"
"440",290,"GA Southern"
"441",2546,"SE Missouri"
"442",324,"Coastal Car"
"443",50,"Florida A&M"
"444",399,"UAlbany"
"445",2815,"Lindenwood"
"446",104,"Boston U"
"447",284,"Stonehill"
"448",2370,"UT Southern"
"449",107554,"Immaculata"
"450",2330,"Le Moyne"
"451",3246,"Bethesda"
"452",437,"Lake Erie"
"453",55,"Jax State"
"454",2026,"App State"
"455",2598,"Saint Francis"
"456",161,"FDU"
"457",2837,"E Texas A&M"
"458",62,"Hawai’i"
"459",2379,"MD Eastern"
"460",85,"IU Indy"
"461",324,"Coastal"
"462",2385,"Mercyhurst"
"463",2698,"West Georgia"
"464",486,"Aquinas"
"465",53,"Florida Tech"
"466",435,"PR-Rio Piedras"
"467",2889,"PR-Bayamon"
"468",109670,"Life Pacific"
"469",2753,"Xavier (LA)"
"470",-1,"TBD"
"471",2441,"New Haven"
"472",2119,"Cent St OH"
"473",2331,"Lenoir Rhyne"
"474",3077,"Kentucky Chr"
"475",2896,"Southern VA"
"476",2019,"Allen Univ"
"477",2179,"Dominican NY"
"478",2288,"IN South Bend"
"479",391,"Oberlin "
"480",404,"Alvernia College"
"481",408,"WA Adventist"
"482",3091,"Hope Inter."
"483",2824,"Panhandle St"
"484",3097,"Johnson FL"
"485",3122,"Rogers State"
"486",2213,"Emory & Henry"
"487",3121,"Ohio Christian"
"488",2728,"Wiley"
"489",2683,"Warner"
"490",455,"West VA Wesleyan"
"491",428,"Nyack College"
"492",216,"Susqueha"
"493",2290,"IND Wesleyan"
"494",3081,"TX-Permian Basin"
"495",2336,"Limestone"
"496",2573,"So New Orleans"
"497",2616,"Stanislaus St"
"498",2155,"Cornell Co (IA)"
"499",2123,"Chadron State"
"500",2148,"Concord"
"501",2176,"Dillard"
"502",2860,"Cent Methodist"
"503",273,"MacMurray College"
"504",148,"MT Tech"
"505",510,"Culver-Stockton"
"506",2491,"Paul Quinn"
"507",2859,"Cascade"
"508",2887,"NW Nazarene"
"509",2714,"Western St."
"510",2730,"William Carey"
"511",2899,"St. Mary's (MN)"
"512",2358,"Lyon College"
"513",2875,"Lee"
"514",2810,"Hardin-Simmons"
"515",215,"Slippery Rock"
"516",342,"Polytechnic"
"517",2838,"Tiffin"
"518",2866,"Evergreen State"
"519",3082,"TX A&M-Intl"
"520",387,"Indiana Southeast"
"521",2862,"CO Christian"
"522",3086,"TX-Tyler"
"523",531,"Providence (MT)"
"524",2036,"Asbury"
"525",2585,"Vanguard"
"526",2040,"Aub.-Montgomery"
"527",366,"Ferrum"
"528",535,"Haskell"
"529",2671,"VA Intermont"
"530",2842,"Virginia-Wise"
"531",630,"Wayland Baptist"
"532",2685,"Wartburg"
"533",2262,"Hanover"
"534",209,"Lock Haven"
"535",3119,"Daniel Webster"
"536",495,"Bluefield U"
"537",2890,"Reinhardt"
"538",2932,"Atlanta Christian"
"539",2701,"Montana-Western"
"540",380,"Anderson (SC)"
"541",2521,"Rio Grande"
"542",2232,"Fort Valley St"
"543",3111,"Apprentice"
"544",2056,"Belhaven"
"545",3079,"Cent Bapt Coll"
"546",100,"Loyola (LA)"
"547",2301,"JohnBrow"
"548",2805,"Clark Atlanta"
"549",2251,"Goucher"
"550",543,"Joh. & Wales FL"
"551",2590,"Spring Hill"
"552",2353,"LSU Shreveport"
"553",2553,"Sewanee"
"554",2650,"Tougaloo"
"555",2913,"Brevard "
"556",2333,"Lewis & Clark"
"557",3083,"Oakwood"
"558",2839,"Tusculum"
"559",2560,"Shorter"
"560",2225,"Fisk"
"561",2639,"TX Lutheran"
"562",2949,"St Gregory's"
"563",2033,"Arkansas Tech"
"564",2041,"Augusta"
"565",2381,"Menlo"
"566",2657,"Tuskegee"
"567",2242,"Geneva"
"568",3098,"Marygrove "
"569",2632,"Tenn Wesleyan"
"570",2145,"CO Springs"
"571",494,"Blue Mountain"
"572",561,"Mayville St"
"573",2206,"Edward Waters"
"574",3104,"Rhema U"
"575",2544,"Schreiner"
"576",484,"Alice Lloyd"
"577",2648,"Toccoa Falls"
"578",2398,"Millsaps"
"579",2948,"Stillman"
"580",2077,"Brewton-Parker"
"581",2302,"John Carroll"
"582",2211,"Emmanuel"
"583",2001,"Adams State"
"584",569,"Montana St-Northern"
"585",136,"Missouri Valley"
"586",2362,"Manchester"
"587",203,"Linfield"
"588",2283,"Benedictine"
"589",2757,"Berry"
"590",286,"NC Wesleyan"
"591",2157,"Covenant"
"592",2684,"Warren Wilson"
"593",2917,"LeMoyne-Owen"
"594",2662,"UC Santa Cruz"
"595",2888,"Ouachita Baptist"
"596",37,"Concordia (NY)"
"597",2264,"Harding"
"598",3109,"Ozarks AR"
"599",2937,"Dallas Christ."
"600",2914,"CP Pomona"
"601",568,"Minot St"
"602",2637,"Texas College"
"603",291,"Methodist"
"604",383,"Suffolk University"
"605",128,"N Michigan"
"606",2536,"CSU San Bern"
"607",2841,"Union Ky "
"608",2326,"LeTourneau"
"609",2822,"N Greenville"
"610",2164,"Dallas Baptist"
"611",2316,"KY Wesleyan"
"612",542,"IL-Springfield"
"613",524,"Fisher College"
"614",2543,"SC Aiken"
"615",2215,"Erskine"
"616",2646,"Thomas M"
"617",95,"Pikeville"
"618",2327,"Lees McRae"
"619",2118,"C. Missouri St."
"620",2252,"Grace"
"621",559,"U of Mary"
"622",3120,"Ecclesia"
"623",2631,"Tenn Temple"
"624",2318,"La Verne"
"625",2345,"CS Los Angeles"
"626",90,"Pitt. St."
"627",2003,"Adrian"
"628",141,"MO-St. Louis"
"629",2096,"Cameron"
"630",2697,"West Florida"
"631",2025,"Angelo State"
"632",2330,"Lemoyne"
"633",534,"Harris Stowe"
"634",2574,"Sonoma St"
"635",3080,"Waldorf "
"636",2161,"Cumberland TN"
"637",2927,"SW Oklahoma St"
"638",2212,"Emory"
"639",389,"Upper Iowa U"
"640",51,"FLA Southern"
"641",2474,"Oakland City"
"642",2191,"East Central"
