"","season","team_id","team_name","conf_perf","fgpct","threeptpct","ftpct","treb","oreb","dreb","ast","stl","blk","to","pers_fouls","ppg","opp_ppg","opp_fgpct","opp_threeptpct","efgpct","mov","pace","unadj_off_eff","unadj_def_eff","starters_shooting_threes_pct","three_pt_shooters_at_35pct_pct","extraScoreChances","oppTO_teamTO_ratio","ast_TO_ratio","foul_outs","adj_bayes_win_rate_close","close_pct","blowout_pct","healthy_rate","pct_guards","kill_shot_count","coach_career_adj_win_pct","coach_career_log_games_total","coach_career_adj_march_eff","coach_curr_school_march_eff","avg_team_exp","smdi","womens_team_tourney_flag","tourney_summary","tourney_perf","wlpct","pyth_exp","luck"
"1",2008,6,"South Alabama","Semifinals - L",0.490802568992803,0.368761747226747,0.724253262986389,39.0615384615385,11.6576923076923,24.7076923076923,15.8807692307692,6.63076923076923,2.96538461538462,13.6384615384615,16.3576923076923,75.9576923076923,64.9346153846154,0.422649745615375,0.325517805314188,0.551362417057281,11.0230769230769,65.9908653846154,1.15120557641499,0.983621882474296,0.442857142857143,0.675,1.37692307692308,1.01320159165238,1.17207521657143,3.1,0.718781214041517,0.238461538461538,0.173076923076923,1,0.571428571428571,2.9,0.595446927774606,5.8636311755981,0.978664086133734,1,2.44444444444444,0,0,"R64","R64 - L",0.806451612903226,0.843528215147444,0.037076602244218
"2",2008,8,"Arkansas","Final - L",0.460774141401782,0.36391399645131,0.666913749564612,39.2531468531469,12.2076923076923,24.6772727272727,14.1541958041958,6.01188811188811,5,14.3506993006993,19.1017482517483,73.886013986014,69.0234265734266,0.416526807822546,0.331308992642077,0.522587349339644,4.86258741258741,69.294472027972,1.06608452291352,0.997035551535986,0.480357142857143,0.7,-0.0891608391608391,0.930900832517327,0.9875783104686,3.1,0.553299250955716,0.294055944055944,0.191608391608392,0.993556097675009,0.423214285714286,4,0.55275950073842,4.99721227376411,0.834055218798919,0,2.88888888888889,0.4,0,"R32","R32 - L",0.6875,0.756317674919054,0.0688176749190538
"3",2008,12,"Arizona","Quarterfinals - L",0.47109042032826,0.389938043723986,0.74804254671863,32.4146464646465,8.05126262626263,21.9156565656566,14.8242424242424,5.58813131313131,3.43156565656566,11.3661616161616,16.2558080808081,70.670202020202,66.9472222222222,0.444641673504375,0.328694245599471,0.536575560788011,3.7229797979798,64.466702020202,1.09668614990361,1.03961082635052,0.551785714285714,0.741666666666667,-2.74065656565657,1.06922600619195,1.30982161285567,1.7,0.211471539267759,0.249242424242424,0.153030303030303,0.917052094298104,0.564285714285714,3.5,0.483944422302619,5.76205138278018,1.92342000439991,0,2.55555555555556,0,0,"R64","R64 - L",0.5625,0.702775891620897,0.140275891620897
"4",2008,24,"Stanford","Final - L",0.43225400918862,0.346329449093367,0.714152749399341,41.3916666666667,13.3666666666667,25.1333333333333,13.5916666666667,4.14166666666667,5.49166666666667,11.9,17,68.8666666666667,62.6833333333333,0.398994496271082,0.334412878787879,0.477183073742872,6.18333333333333,64.2324583333333,1.0721684636837,0.975528055643012,0.366071428571429,0.633333333333333,1.21666666666667,0.911133723880253,1.14875686147885,1.8,0.706354487020195,0.358333333333333,0.141666666666667,0.993662464860245,0.307142857142857,4.1,0.539643079294362,5.50533153593236,1.53143734520072,1,2.8,0.2,1,"S16","S16 - L",0.78125,0.840034808450634,0.0587848084506342
"5",2008,26,"UCLA","Final - W",0.482738437722615,0.347452009796014,0.738764289063567,37.8371794871795,11.9179487179487,23.3615384615385,13.8205128205128,7.48589743589744,3.95448717948718,11.7455128205128,14.2532051282051,74.3814102564103,61.1352564102564,0.439804421086207,0.356936725383165,0.531964495171128,13.2461538461538,65.0422532051282,1.14277808810651,0.940188898289704,0.511111111111111,0.5,5.84551282051282,1.18342024226452,1.17339542917744,1.2,0.850601950215629,0.232051282051282,0.336538461538462,0.972354769454581,0.494444444444444,6.5,0.644110275689223,5.99146454710798,3.5,4.66666666666667,2.66666666666667,0,0,"F4","F4 - L",0.939393939393939,0.931587201782665,-0.00780673761127437
"6",2008,30,"USC","Semifinals - L",0.478906974337226,0.371539387013059,0.69474011826953,36.1833333333333,9.09444444444444,23.7333333333333,11.5333333333333,5.31944444444444,4.80833333333333,14.1777777777778,16.2583333333333,68.4805555555556,65.15,0.400193638214953,0.310664202741219,0.534488556892909,3.33055555555556,65.4705277777778,1.04592653309214,0.995787740371265,0.428571428571429,0.5,-5.78611111111111,0.856724490327484,0.81394202925197,6.7,0.665125001753311,0.169444444444444,0.177777777777778,0.974351328366601,0.571428571428571,3.8,0.645454545454546,6.08904487544685,1.66666666666667,3,1.875,0,0,"R64","R64 - L",0.645161290322581,0.723482732532512,0.0783214422099315
"7",2008,41,"UConn","Quarterfinals - L",0.461015807689724,0.361238471673254,0.7380537841212,43.7854545454545,12.6781818181818,27.32,13.8472727272727,5.24545454545455,8.60727272727273,13.2509090909091,14.7072727272727,75.9836363636364,69.62,0.395433515961304,0.364015072270825,0.51079039878214,6.36363636363636,68.2856727272727,1.11347864661505,1.01999382426043,0.571428571428571,0.5,-3.71272727272727,0.849542015133413,1.04639585822382,1.3,0.761504064999994,0.38,0.0763636363636364,0.961980707121818,0.571428571428571,3.5,0.695652173913043,6.98656645940643,3.05263157894737,3.78571428571429,2.22222222222222,0,1,"R64","R64 - L",0.75,0.797192035313341,0.0471920353133406
"8",2008,44,"American","Final - W",0.456425342746104,0.423952998438124,0.740107296137339,36.5794871794872,9.77371794871795,23.1339743589744,12.4833333333333,4.69551282051282,2.58717948717949,13.9442307692308,17.0307692307692,66.8551282051282,62.6794871794872,0.406007292122001,0.345336930419665,0.545826713508222,4.17564102564103,60.9689615384615,1.09711553653125,1.02794757572933,0.507142857142857,0.825,-2.7224358974359,0.828526383240599,0.896175587968456,1.4,0.538950879070121,0.232051282051282,0.0230769230769231,0.992157952493894,0.294642857142857,2.1,0.547252747252747,6.12249280951439,1.8,0,2.44444444444444,0.2,0,"R64","R64 - L",0.645161290322581,0.633578383476569,-0.0115829068460116
"9",2008,46,"Georgetown","Final - L",0.465323312129613,0.36773371106642,0.688861679625823,37.7166666666667,9.86742424242424,24.4401515151515,14.6060606060606,7.03787878787879,5.01515151515152,13.7575757575758,17.9659090909091,66.9409090909091,58.6015151515152,0.376087613308193,0.297789519848343,0.541555155576919,8.33939393939394,62.6057462121212,1.06927505931815,0.936201758865464,0.558730158730159,0.65,-2.74318181818182,0.942365679701851,1.06910232295798,5,0.853835422752455,0.283333333333333,0.137121212121212,0.994184707508061,0.56984126984127,7.4,0.653573808269674,5.36129216570943,2.57261223115384,4.75,2.44444444444444,0,0,"R32","R32 - L",0.838709677419355,0.88084063183069,0.0421309544113349
"10",2008,61,"Georgia","Final - W",0.414115805963782,0.32382818176404,0.677970746376209,42.3439393939394,13.3409090909091,24.9507575757576,11.1681818181818,6.64166666666667,2.96893939393939,14.3598484848485,18.1371212121212,66.755303030303,68.8568181818182,0.440553851279449,0.314295188618169,0.47070810222451,-2.10151515151515,67.6084810606061,0.987869338953645,1.01858430533989,0.370833333333333,0.466666666666667,0.270454545454545,0.853250622174444,0.776663819635678,3.8,0.5229124915483,0.234090909090909,0.0181818181818182,0.967462137949473,0.606944444444444,1,0.57585507362264,5.62040086571715,0.93806795008577,0,2.3,0,1,"R64","R64 - L",0.483870967741935,0.524842888971847,0.0409719212299113
"11",2008,68,"Boise St","Final - W",0.506831933566918,0.407827675929052,0.665001283767869,39.8133333333333,9.58666666666667,27.425,18.01,5.37,2.49333333333333,16.1616666666667,17.705,81.7733333333333,76.7233333333333,0.437197370530704,0.345480693042196,0.581441246800928,5.05,74.623375,1.09560002228674,1.027446669515,0.725714285714286,0.833333333333333,-3.755,0.854080354953766,1.11571740896963,2.8,0.477012835140018,0.231666666666667,0.0966666666666667,0.983154082256831,0.402857142857143,3,0.541985003801736,5.05624580534831,0,0,2,0,0,"R64","R64 - L",0.75,0.708952982945527,-0.0410470170544734
"12",2008,84,"Indiana","Quarterfinals - L",0.446344940096412,0.333027134298696,0.766838335616533,39.5833333333333,11.225,25.9216666666667,12.7433333333333,6.445,3.36333333333333,13.405,17.1133333333333,71.4333333333333,66.2366666666667,0.413520214699422,0.344185401969906,0.510360980279315,5.19666666666667,66.077625,1.08143096940288,1.00245322766269,0.435714285714286,0.35,-0.913333333333333,0.909698431966112,0.955736886011579,1.3,0.609780753058301,0.468333333333333,0.14,0.957848634916124,0.564285714285714,5.9,0.530439155096387,5.6937321388027,0,0,2,0.2,0,"R64","R64 - L",0.78125,0.838273733276159,0.0570237332761594
"13",2008,87,"Notre Dame","Quarterfinals - L",0.46084685576996,0.413952205882353,0.734318285453716,45.0166666666667,12.9277777777778,28.2888888888889,18.7361111111111,5.79444444444444,3.84722222222222,13.3888888888889,15.0444444444444,81.1777777777778,74.9861111111111,0.421363216725168,0.336063806886928,0.5328931470469,6.19166666666667,72.0702083333333,1.12672583592031,1.03929516258247,0.4875,0.866666666666667,-2.75555555555556,0.881331454607317,1.4032696489593,2.1,0.647041271683355,0.172222222222222,0.152777777777778,0.999187884108867,0.5,4.3,0.64894278137489,5.91889385427315,1.31718353840106,1.5,2.75,0,1,"R32","R32 - L",0.8,0.833843267745097,0.0338432677450974
