
"UC Santa Barbara",102.26333775226,99.976054758823,0.56466972993293,11–8,11,19,53,45.1,38.7,41.3,21,18.6,27.2,30.9,64.5,50.8,40.4,37.8,36.3,11.7,6.4,63.6,57,38.3,33.6,64.5,,,,2011,,,,-5.1609765739274,74.7,72.1
"Arkansas Pine Bluff",88.038455780812,112.14884042041,0.058216211754087,7–12,7,19,46.4,48.8,44.6,57.9,23.1,22.6,29.8,30.8,67.3,42.9,46.4,35.3,36.1,6.9,11,59.1,65.6,34.1,31.2,65.5,,,,2011,,,,-11.425002513268,63.5,63
"Portland St.",103.31709215021,114.1984951214,0.2402050059148,7–10,7,17,50.2,53.2,36.1,30.6,16.3,18.5,28,36.2,66.4,46.9,52.9,37.2,35.8,6,10.3,52,56.5,37.4,33.5,67.1,,,,2011,,,,-7.6959714020081,69.3,68.4
Indiana,110.50890229631,100.85573142188,0.74099708150068,3–14,3,17,48,51.6,31.8,48.9,18,16.6,30.8,32.8,62.7,48.7,49.1,31,37.6,5.8,12,43.1,57.2,31.3,33.6,64.8,,,,2011,,,,-4.0249314741743,77.9,70.9
Louisiana,100.69844259175,105.1218680589,0.37886114206736,12–5,12,17,50.1,48.6,45.2,46.5,20.5,19.7,36.4,30.1,68.9,49.3,48.2,35,33.1,10.3,8.4,38.9,39.4,25.4,27.5,69.1,,,,2011,,,,-3.4098203926815,70.4,69.4
"Central Michigan",90.187814885972,100.66235099538,0.22035624097199,7–11,7,18,43.4,49.5,36,50.5,19.6,22.3,31.6,29.4,64.6,40.1,49.4,34.4,33.2,9.5,10.1,42.3,46.9,28.7,25.8,64.5,,,,2011,,,,-8.1797806443754,60.2,67.2
Brown,103.41156256002,107.34211053924,0.39436541815567,5–11,5,16,50.4,51,33.6,32.7,15.2,14.6,21.3,26.4,69.9,48.7,50.4,35.6,34.8,7.2,10.5,55.9,51.3,36.6,34,71,,,,2011,,,,-8.0694653712515,75,72.5
Columbia,98.199210517411,101.79725635067,0.39799477902137,7–9,7,16,44.9,50.5,31.9,42.6,16.4,19.5,32.2,27.5,67,44.9,50.2,30,34.3,8.9,7.6,42.5,50.5,25.7,25.5,67.5,,,,2011,,,,-6.246495473379,73.3,72.5
"UC Irvine",101.7416369442,107.0788407001,0.35709829145063,7–11,7,18,47.3,51.5,42.6,38.7,16.3,19.2,27.5,30.3,70,45.3,51.4,33.7,34.4,5.7,7.3,49.7,53.4,37.5,37.7,70.1,,,,2011,,,,-7.9110182618651,73.8,74
Montana,98.248361797246,96.384811702502,0.55483464604182,11–6,11,17,51.2,43.8,38.1,30.8,19.6,19,29.1,32.2,62.3,52.1,42.8,32.5,30.7,12.6,7.4,55.1,46.4,27.4,30.1,62.7,,,,2011,,,,-3.4149887864881,67.4,69.9
UAB,107.46063249502,95.783697750621,0.78965860546478,12–6,12,18,49.5,47.9,30.4,38.8,19.1,18.6,33.7,28.5,62.4,50.3,46.6,32.3,34,8.3,10.4,54,49.9,41.1,30.4,62.5,,,,2011,,,,-0.51911409758734,69.7,70.6
