season,team_id,team_name,womens_team_tourney_flag
2015,2168,Dayton,1
2015,150,Duke,1
2015,331,E Washington,
2015,46,Georgetown,
2015,61,Georgia,
2015,2247,Georgia St,
2015,2250,Gonzaga,1
2015,2261,Hampton,
2015,108,Harvard,
2015,84,Indiana,
2015,2294,Iowa,1
2015,66,Iowa State,1
2015,2305,Kansas,
2015,96,Kentucky,1
2015,322,Lafayette,
2015,97,Louisville,1
2015,99,LSU,1
2015,2363,Manhattan,
2015,120,Maryland,1
2015,127,Michigan St,
2015,2449,N Dakota St,
2015,152,NC State,
2015,166,New Mexico St,1
2015,153,North Carolina,1
2015,2454,North Florida,
2016,12,Arizona,
2016,2046,Austin Peay,
2016,2934,Bakersfield,
2016,239,Baylor,1
2016,2084,Buffalo,1
2016,2086,Butler,
2016,25,California,
2016,236,Chattanooga,1
2016,2132,Cincinnati,
2016,38,Colorado,
2016,2168,Dayton,
2016,150,Duke,
2016,161,Fair Dickinson,
2016,526,FGCU,
2016,278,Fresno St,
2016,2250,Gonzaga,
2016,2739,Green Bay,1
2016,2261,Hampton,
2016,62,Hawai'i,1
2016,107,Holy Cross,
2016,84,Indiana,1
2016,314,Iona,1
2016,2294,Iowa,
2016,66,Iowa State,
2016,2305,Kansas,
2016,96,Kentucky,1
2016,2031,Little Rock,
2016,120,Maryland,1
2016,2390,Miami,1
2016,130,Michigan,
2016,127,Michigan St,1
2016,2393,MTSU,1
2016,153,North Carolina,
2016,2460,Northern Iowa,
2016,87,Notre Dame,1
2016,201,Oklahoma,1
2016,2483,Oregon,
2017,12,Arizona,
2017,8,Arkansas,
2017,239,Baylor,1
2017,2083,Bucknell,1
2017,2086,Butler,
2017,2132,Cincinnati,
2017,156,Creighton,1
2017,2168,Dayton,1
2017,150,Duke,1
2017,2193,ETSU,
2017,526,FGCU,1
2017,57,Florida,
2017,52,Florida St,1
2017,2250,Gonzaga,1
2017,314,Iona,
2017,66,Iowa State,1
2017,55,J'Ville St,
2017,2305,Kansas,
2017,2306,Kansas St,1
2017,2309,Kent State,
2017,96,Kentucky,1
2017,97,Louisville,1
2017,269,Marquette,1
2017,120,Maryland,1
2017,2390,Miami,1
2017,130,Michigan,
2017,127,Michigan St,1
2017,135,Minnesota,
2017,116,Mount St Mary,
2017,2393,MTSU,
2017,94,N Kentucky,
2017,2428,NC Central,
2017,2440,Nevada,
2017,166,New Mexico St,1
2018,333,Alabama,
2018,12,Arizona,
2018,9,Arizona St,1
2018,8,Arkansas,
2018,2,Auburn,
2018,2083,Bucknell,
2018,2084,Buffalo,1
2018,2086,Butler,
2018,232,Charleston,
2018,2132,Cincinnati,
2018,228,Clemson,
2018,156,Creighton,1
2018,2166,Davidson,
2018,150,Duke,1
2018,57,Florida,
2018,52,Florida St,1
2018,2239,Fullerton,
