
"UC Santa Barbara",104.92102145578,106.45278412659,0.45842694383566,5–5,5,10,53.1,50.1,38.3,28.4,19.3,12.5,26.3,22.5,71.5,53.7,52,34.4,30.8,8.4,6.1,49.1,44.7,27,33.2,71,,,,2024,,,,-3.2252503993107,72.4,66.3
"Arkansas Pine Bluff",106.26382421898,126.76524403111,0.11621848850346,1–8,1,9,49.9,62.4,38.2,34.4,17.1,17.9,22.8,41.5,74.9,43.8,65.2,38.1,39,4.1,15.9,49.8,64,46,42.1,75,,,,2024,,,,-4.1622829933397,76.1,77.1
"Portland St.",98.898257575758,103.18122727273,0.38047182272638,7–4,7,11,46.4,51.9,32.8,32.2,16.1,19.2,29.3,27.8,68.1,44.5,49.2,32.7,38.3,8.5,10.7,44.7,48.1,40.4,33.6,69.8,,,,2024,,,,-2.0621087666613,70.4,65
Indiana,108.62018056528,101.24637678574,0.69177983238158,10–3,10,13,53.4,49.2,45.6,27.1,17.4,16.3,28.2,28.5,70.8,55.3,47.1,31.9,34.7,12.6,7.7,55.2,54.9,25.7,42.9,70.7,,,,2024,,,,0.30550709677616,68,73.1
Louisiana,106.22801515152,106.33406060606,0.49713140398249,5–6,5,11,51.4,52,25.9,42.1,17.3,21.1,32.5,38.1,68.9,50.2,54.3,35.6,31.5,10.3,12,44.1,50.9,37.8,32,67.4,,,,2024,,,,-3.4769634371519,74.6,69.5
"Central Michigan",94.783285039608,106.59408214316,0.20578838167189,4–7,4,11,46.1,54.2,25.1,30.3,20.2,18.5,29,32,68.7,45.9,56.1,31,34.4,9,8.4,44.5,57.6,33.2,40.9,68.8,,,,2024,,,,-3.3229115695944,64,78.9
Brown,95.950551282051,106.99202564103,0.22225119023297,3–10,3,13,45.7,51.3,35.6,33.3,19.3,17.3,31.3,25.8,69.4,46.7,50.1,29.3,35.6,12,12,50.2,51,38.5,36.2,69.1,,,,2024,,,,-7.4014820942161,63.6,66
"Wright St.",116.06145704357,114.92984113218,0.52813944960049,4–8,4,12,56.7,58.4,29.8,31.6,16.7,16.7,30.2,26.5,71.9,57.7,59.4,36,37.9,7.8,6.4,43.4,52.9,27,39.4,71.9,,,,2024,,,,-5.3936048345667,73.7,71.7
"UC Irvine",106.32931198977,97.109533433764,0.73944127411286,8–5,8,13,52.8,46.3,33.7,36.6,18.2,17,31.2,26.5,70.1,51.3,44.3,37.7,33.6,8.5,8.2,58.6,51.3,28.2,32.2,70.2,,,,2024,,,,-1.1521152008141,71.2,72.3
Furman,109.36513333333,107.98258333333,0.53651117026263,4–6,4,10,54.9,54.5,31.7,32.8,18.3,14.8,29.6,25.1,74.1,58.8,56.1,33.7,34.3,6.2,10.7,60.2,51.9,47.5,33.9,73.1,,,,2024,,,,-3.7974754358439,70.8,68.4
UAB,110.788125,110.87508333333,0.49774429390494,7–5,7,12,48.1,52.6,43.6,32.6,16.6,16.2,37.8,31.9,68,49.3,52.2,30.3,35.6,13,10.9,46.8,52.1,30.6,37,68.4,,,,2024,,,,-2.4384650462773,73.6,73.2
Tulane,113.02004835163,107.77257462335,0.6333773056626,8–3,8,11,58.1,51.9,55.7,30.3,15,20.6,17.8,31.9,76.1,62.2,52.1,34.1,34.4,10.4,6.3,50.2,53.9,36.8,43.6,76.4,,,,2024,,,,-1.1601821892445,74.6,70.8
FIU,97.9236424709,107.32854925386,0.25833764283547,4–10,4,14,49.7,56.4,29.4,40.5,20.4,25.5,29.2,37.1,73.2,51.6,56.8,31.3,37.1,9.2,12.5,54.1,56.1,41.2,40.2,72.5,,,,2024,,,,-7.5284845350904,62.7,68.5
BYU,119.73202984814,92.578845348748,0.95062841605866,12–1,12,13,58.5,44.6,20.3,23,13.8,18.4,37.7,19.8,70.9,60,47.7,38,25.7,7.5,4.9,66.9,48.4,49.3,34.1,70.5,,,,2024,,,,1.1688086039907,72.9,66.5
"Illinois Chicago",99.634791666667,95.250944444444,0.62655354737366,6–6,6,12,51.7,43.2,25.8,33,18.8,17.8,26.2,28.7,68.3,49.5,45.7,36.6,25.2,17,9.5,56.3,41.5,39.9,32.5,69.2,,,,2024,,,,-3.7636644010107,65.5,73
Xavier,109.06171157056,93.606743198516,0.85287517014527,7–6,7,13,50,44.4,34.1,28.7,17.9,16.9,32.8,31.1,71.9,49.7,44.7,33.7,29.1,9.8,11.4,65.3,58.4,31.9,31.7,72.1,,,,2024,,,,-1.2917471682591,70.6,67.9
Charlotte,104.91124242424,100.05060606061,0.63310102856767,5–6,5,11,50.9,48.3,28.7,29.5,15.8,16.5,23.1,25,63.8,53.8,47.6,30.6,33,9.8,6.9,54.6,47.2,36.4,37.6,65.1,,,,2024,,,,-3.2894438912681,75.9,75.8
Canisius,106.28056302548,102.86365804415,0.59285903456627,5–6,5,11,52.1,49.8,29.1,35.1,18.5,16.8,31,32.2,70.4,48.5,53.3,38.6,28.4,7.6,11.6,52.5,44.3,38.5,32.4,69.9,,,,2024,,,,-3.2856401359531,66.1,66.1
"Wake Forest",114.30240278622,101.51797031336,0.79641475119155,9–3,9,12,54.9,47.4,34.3,26.9,14.7,18.9,27.3,29,69.4,54.5,47.3,37.1,31.8,12,9.6,42.4,39.7,37.1,33.5,69,,,,2024,,,,-0.39422335932291,79.5,72.4
"Florida Atlantic",118.15773025541,96.903678414294,0.90724777669183,10–3,10,13,57,48.5,35.6,26,16.8,18.7,33.6,29.7,69.5,58.1,47.2,36.7,33.8,7,6.3,49.5,40.6,37.5,36.6,68.8,,,,2024,,,,1.0507697125929,68.1,71.8
Northeastern,110.19484335025,112.69256894175,0.43591593615603,5–8,5,13,53,55.1,37.7,24.2,19.4,16.2,33,29.6,66.5,55.9,55.2,31.7,36.6,8.9,11,53.6,48.8,34.4,37.5,67.2,,,,2024,,,,-5.0540101717379,74.1,73.8
"Robert Morris",99.536578915452,111.26908514228,0.21731167956152,2–11,2,13,48.8,55.7,31.5,38.9,20.6,19.1,30.7,31.6,70.5,49.6,59.1,31.7,32.6,6,8.1,46.6,48.1,38.4,33.2,70.4,,,,2024,,,,-8.4056183117154,71.3,69.6
Seattle,105.82560780097,96.80535681875,0.73585546338085,7–5,7,12,51,46.3,37.2,36,19.9,18.3,30.6,26,68.5,52.1,49.2,32.8,27.5,9.2,8.8,50.5,48.1,38.4,36.1,68.2,,,,2024,,,,-2.71778076446,74,71.1
Villanova,110.63916760929,91.841326205652,0.89486574952915,9–4,9,13,49.4,47.5,32.5,28.2,15.2,18.5,30.4,23.1,65.2,48.7,45.2,33.4,33.7,6.4,14.3,49.2,54,48.6,43.5,66,,,,2024,,,,0.14989993188815,81.9,67.6
Howard,105.39895288722,111.33064169591,0.34759081018979,4–9,4,13,52,52.3,37.5,37,20.9,15.4,29.9,30.6,71.1,50,52.9,36.9,34.1,6.9,10.4,47.5,49.2,37.2,35.7,70.4,,,,2024,,,,-6.2709348771529,74.5,68.8
"Utah St.",109.23242908097,96.214731336202,0.81142533894529,10–1,10,11,53,48.4,37.1,30.3,15.8,18.7,30.3,22.8,71.1,57.5,51.6,29.2,28.5,12.3,5.3,56.7,44.9,32.5,36.7,70.1,,,,2024,,,,1.3218949339302,67.6,69.1
Marist,97.753409090909,97.620075757576,0.50392402810366,7–4,7,11,52.2,45.2,30.1,40.5,18.4,21.5,22.6,24.6,66.8,52.9,46.5,34.1,28.9,11.5,6.3,50.7,43,38.2,39.8,67,,,,2024,,,,-2.9741922994264,63.5,69
Toledo,110.19952500681,109.60846846584,0.51545667366484,6–6,6,12,51.8,56.9,33.1,26.9,16.2,19.6,30.3,30.1,71.8,50.4,58,36.9,36.6,7,7.3,45.2,47.4,27.6,35.6,71.2,,,,2024,,,,-2.988618295991,76.5,76.6
