
"UC Santa Barbara",110.17161951181,106.61077504213,0.59334950493844,12–6,12,18,52,49.4,29.4,26.6,14.6,16.4,29,25.2,65.9,49.8,48.1,37.4,34.6,8.4,7.1,54.6,54.3,36,34.1,66.4,,,,2018,,,,-3.7182649888767,71.9,72.9
"Arkansas Pine Bluff",94.346839454122,107.76367513275,0.17812936821401,14–7,14,21,52.1,45.6,39.8,42.3,19.3,23,24.1,37.1,68.9,52.2,46.1,34.5,29.7,13.2,5.3,53.9,50.3,33.2,34.5,68.3,,,,2018,,,,-6.18345215159,66.7,68.1
"Portland St.",105.85359905003,108.96313288837,0.41752183523599,10–9,10,19,49,55.4,31.8,42.7,16.8,20,35.6,28.3,73.6,50.7,52.9,30.8,40.2,7.7,9.3,49.3,53.6,36.8,34.4,73.8,,,,2018,,,,-5.9626090040129,72.3,70.7
Indiana,108.79094026387,94.783597405684,0.8299205704018,8–9,8,17,50.3,50.4,34.6,33.9,17.9,20.1,29,29.4,66.5,50.3,49.1,33.5,35.4,9.7,13,55.8,51.1,34.2,33.4,67.2,,,,2018,,,,-0.97004733871661,65.2,70.6
Louisiana,113.85715510275,98.501147403743,0.84105235829608,15–3,15,18,53.8,47.1,36.7,33.2,17.5,19.6,34.5,26.3,70.5,51.9,45.3,37.6,33.7,12.3,8.8,61.9,44.7,41.8,34.2,70.9,,,,2018,,,,-0.27172153953658,78,69.3
"Central Michigan",108.83699833353,110.08437986347,0.46728380924902,9–12,9,21,50.3,54.1,32.8,30.9,16.1,18,30.6,31.3,69.1,49.6,54.7,34.1,35.4,7.8,12.9,50.1,49.7,46,41.1,68.4,,,,2018,,,,-8.498958535662,80.6,70.4
Brown,101.21150013701,111.31414403867,0.25083660911218,5–10,5,15,47.7,55.2,39.6,43.1,17.2,19.2,30.1,27.1,71.6,48.1,52.9,31.3,39.5,8.8,11.4,45.5,49.1,33.7,36,72.1,,,,2018,,,,-7.759507956544,73.1,73
"Wright St.",102.63399238055,99.245772461909,0.59533228389342,15–4,15,19,50.9,47.5,35.6,30.8,17.2,19.4,28.6,24.7,69.9,49.3,44.2,35.8,34.7,7.9,7.7,54,51.1,35.8,41.7,68.7,,,,2018,,,,-1.6518426483045,74.4,72.8
"UC Irvine",100.39020060311,95.129106488481,0.65000030849099,13–6,13,19,48.9,42.9,25.6,39,19.2,15.7,31.8,22.2,66.8,49.7,42.3,31.5,29.4,8.3,6.7,45.3,44.8,31.9,32.7,67.2,,,,2018,,,,-3.3679359920517,75.2,69.9
Montana,109.94746838326,100.63578323208,0.73452243210703,17–2,17,19,54.2,48.8,41.3,36.4,16.4,19.6,32.4,25.9,69.5,52.6,47,39.3,34.8,7.4,6.4,45.6,42.9,24.4,34.7,67.9,,,,2018,,,,0.86839830469625,71.4,71
UAB,106.98971904925,102.01795680836,0.63348917722013,11–8,11,19,54.3,50.8,25.2,25.3,19.7,17.3,29.2,24.8,69.7,56.4,49.6,33.4,34.8,11.3,8.1,59.2,55.6,32.7,44.7,69.3,,,,2018,,,,-3.4367070351136,71.3,69.6
Tulane,106.24847945242,110.86028211793,0.38021465876672,4–13,4,17,50.1,53.3,33.1,41.3,18,16.7,28.7,32.1,67.1,50.3,51.4,33.1,37.9,8.7,7.7,57.1,49.2,37,33.5,68.8,,,,2018,,,,-7.6298522246231,70.7,73.6
FIU,100.0063833514,102.69806748292,0.42423018790721,7–11,7,18,47,50.4,36.6,36.7,15.6,19,27.3,28.7,69.1,46.8,50.9,31.5,33,8.7,9.3,47.7,53.1,32.9,38.1,69.3,,,,2018,,,,-7.1212380747645,62,69.9
BYU,107.44611314042,98.766325858519,0.72485560469158,12–7,12,19,54.6,52.4,36.7,27.5,16.6,18.4,20.2,21.9,66.6,56.4,52.9,34,34.4,10,7.5,57,53.2,33.5,39.8,68.2,,,,2018,,,,-1.5929123363664,75.9,67.2
"Illinois Chicago",105.46795069921,105.54537280616,0.49789030149551,12–5,12,17,53.6,46.7,37.1,35.5,19,16.6,29.9,31.1,74.1,50.7,45.6,39.8,32.5,17,9,52.4,59,32.3,35.4,73.4,,,,2018,,,,-3.3327612185391,74.3,70.2
Xavier,121.51529336354,97.289036113131,0.9280469821541,14–4,14,18,53.9,53.2,38.1,22.2,16.8,14.9,29.4,20.2,71.5,53.3,54.6,36.7,34,6.8,8.5,55.2,54.2,36.6,41.5,70.7,,,,2018,,,,5.6697016185246,77.9,78.7
Charlotte,100.30389770201,114.89326017093,0.17340454077143,2–15,2,17,48.1,55.5,36.4,31.4,20.3,16,27,29.1,71.6,47.6,53.6,32.8,39.5,5,10.5,41,49,35.9,34.8,71.1,,,,2018,,,,-11.268134186739,74.8,72.6
Canisius,107.95191068326,105.17817806574,0.5742824185022,13–4,13,17,54,52,31.1,36.4,15.9,23.1,30.2,28.8,70.8,53.4,53.4,36.5,33.1,7.7,8.8,62.1,44.2,44,38.4,70.6,,,,2018,,,,-2.0169537792983,72.8,74.8
