"","season","game_date","home_id","home_short_display_name","home_winner","away_id","away_short_display_name","away_winner"
"79",2009,2009-03-22,97,"Louisville",TRUE,2561,"Siena",FALSE
"80",2009,2009-03-22,127,"Michigan St",TRUE,30,"USC",FALSE
"81",2009,2009-03-22,142,"Missouri",TRUE,269,"Marquette",FALSE
"82",2009,2009-03-22,221,"Pitt",TRUE,197,"Oklahoma St",FALSE
"83",2009,2009-03-22,12,"Arizona",TRUE,325,"Cleveland St",FALSE
"84",2009,2009-03-22,2305,"Kansas",TRUE,2168,"Dayton",FALSE
"85",2009,2009-03-22,2752,"Xavier",TRUE,275,"Wisconsin",FALSE
"86",2009,2009-03-22,183,"Syracuse",TRUE,9,"Arizona St",FALSE
"87",2009,2009-03-21,150,"Duke",TRUE,251,"Texas",FALSE
"88",2009,2009-03-21,2250,"Gonzaga",TRUE,98,"Western KY",FALSE
"89",2009,2009-03-21,201,"Oklahoma",TRUE,130,"Michigan",FALSE
"90",2009,2009-03-21,153,"North Carolina",TRUE,99,"LSU",FALSE
"91",2009,2009-03-21,264,"Washington",FALSE,2509,"Purdue",TRUE
"92",2009,2009-03-21,41,"UConn",TRUE,245,"Texas A&M",FALSE
"93",2009,2009-03-21,235,"Memphis",TRUE,120,"Maryland",FALSE
"94",2009,2009-03-21,222,"Villanova",TRUE,26,"UCLA",FALSE
"95",2009,2009-03-20,52,"Florida St",FALSE,275,"Wisconsin",TRUE
"96",2009,2009-03-20,127,"Michigan St",TRUE,2523,"Robert Morris",FALSE
"97",2009,2009-03-20,154,"Wake Forest",FALSE,325,"Cleveland St",TRUE
"98",2009,2009-03-20,194,"Ohio State",FALSE,2561,"Siena",TRUE
"99",2009,2009-03-20,2752,"Xavier",TRUE,2502,"Portland St",FALSE
"100",2009,2009-03-20,103,"Boston College",FALSE,30,"USC",TRUE
"101",2009,2009-03-20,97,"Louisville",TRUE,2413,"Morehead St",FALSE
"102",2009,2009-03-20,254,"Utah",FALSE,12,"Arizona",TRUE
"103",2009,2009-03-20,142,"Missouri",TRUE,172,"Cornell",FALSE
"104",2009,2009-03-20,221,"Pitt",TRUE,2193,"ETSU",FALSE
"105",2009,2009-03-20,277,"West Virginia",FALSE,2168,"Dayton",TRUE
"106",2009,2009-03-20,9,"Arizona St",TRUE,218,"Temple",FALSE
"107",2009,2009-03-20,2305,"Kansas",TRUE,2449,"N Dakota St",FALSE
"108",2009,2009-03-20,269,"Marquette",TRUE,328,"Utah State",FALSE
"109",2009,2009-03-20,197,"Oklahoma St",TRUE,2633,"Tennessee",FALSE
"110",2009,2009-03-20,183,"Syracuse",TRUE,2617,"SF Austin",FALSE
"111",2009,2009-03-19,356,"Illinois",FALSE,98,"Western KY",TRUE
"112",2009,2009-03-19,26,"UCLA",TRUE,2670,"VCU",FALSE
"113",2009,2009-03-19,201,"Oklahoma",TRUE,2415,"Morgan St",FALSE
"114",2009,2009-03-19,150,"Duke",TRUE,2066,"Binghamton",FALSE
"115",2009,2009-03-19,2250,"Gonzaga",TRUE,2006,"Akron",FALSE
"116",2009,2009-03-19,222,"Villanova",TRUE,44,"American",FALSE
"117",2009,2009-03-19,228,"Clemson",FALSE,130,"Michigan",TRUE
"118",2009,2009-03-19,251,"Texas",TRUE,135,"Minnesota",FALSE
"119",2009,2009-03-19,264,"Washington",TRUE,344,"Mississippi St",FALSE
"120",2009,2009-03-19,153,"North Carolina",TRUE,2515,"Radford",FALSE
"121",2009,2009-03-19,41,"UConn",TRUE,236,"Chattanooga",FALSE
"122",2009,2009-03-19,25,"California",FALSE,120,"Maryland",TRUE
"123",2009,2009-03-19,2509,"Purdue",TRUE,2460,"Northern Iowa",FALSE
"124",2009,2009-03-19,252,"BYU",FALSE,245,"Texas A&M",TRUE
"125",2009,2009-03-19,235,"Memphis",TRUE,2463,"CSU Northridge",FALSE
"126",2009,2009-03-19,99,"LSU",TRUE,2086,"Butler",FALSE
"127",2009,2009-03-17,2011,"Alabama St",FALSE,2413,"Morehead St",TRUE
"128",2010,2010-04-05,150,"Duke",TRUE,2086,"Butler",FALSE
"129",2010,2010-04-03,150,"Duke",TRUE,277,"West Virginia",FALSE
"130",2010,2010-04-03,127,"Michigan St",FALSE,2086,"Butler",TRUE
"131",2010,2010-03-28,150,"Duke",TRUE,239,"Baylor",FALSE
"132",2010,2010-03-28,127,"Michigan St",TRUE,2633,"Tennessee",FALSE
"133",2010,2010-03-27,96,"Kentucky",FALSE,277,"West Virginia",TRUE
"134",2010,2010-03-27,2306,"Kansas St",FALSE,2086,"Butler",TRUE
"135",2010,2010-03-26,150,"Duke",TRUE,2509,"Purdue",FALSE
"136",2010,2010-03-26,127,"Michigan St",TRUE,2460,"Northern Iowa",FALSE
"137",2010,2010-03-26,239,"Baylor",TRUE,2608,"Saint Mary's",FALSE
"138",2010,2010-03-26,194,"Ohio State",FALSE,2633,"Tennessee",TRUE
"139",2010,2010-03-25,96,"Kentucky",TRUE,172,"Cornell",FALSE
"140",2010,2010-03-25,2306,"Kansas St",TRUE,2752,"Xavier",FALSE
"141",2010,2010-03-25,277,"West Virginia",TRUE,264,"Washington",FALSE
"142",2010,2010-03-25,183,"Syracuse",FALSE,2086,"Butler",TRUE
"143",2010,2010-03-21,150,"Duke",TRUE,25,"California",FALSE
"144",2010,2010-03-21,2509,"Purdue",TRUE,245,"Texas A&M",FALSE
"145",2010,2010-03-21,221,"Pitt",FALSE,2752,"Xavier",TRUE
"146",2010,2010-03-21,275,"Wisconsin",FALSE,172,"Cornell",TRUE
"147",2010,2010-03-21,277,"West Virginia",TRUE,142,"Missouri",FALSE
"148",2010,2010-03-21,120,"Maryland",FALSE,127,"Michigan St",TRUE
"149",2010,2010-03-21,194,"Ohio State",TRUE,59,"Georgia Tech",FALSE
"150",2010,2010-03-21,183,"Syracuse",TRUE,2250,"Gonzaga",FALSE
"151",2010,2010-03-20,96,"Kentucky",TRUE,154,"Wake Forest",FALSE
"152",2010,2010-03-20,2306,"Kansas St",TRUE,252,"BYU",FALSE
"153",2010,2010-03-20,167,"New Mexico",FALSE,264,"Washington",TRUE
"154",2010,2010-03-20,239,"Baylor",TRUE,295,"Old Dominion",FALSE
"155",2010,2010-03-20,2305,"Kansas",FALSE,2460,"Northern Iowa",TRUE
"156",2010,2010-03-20,2633,"Tennessee",TRUE,195,"Ohio",FALSE
"157",2010,2010-03-20,2086,"Butler",TRUE,93,"Murray St",FALSE
"158",2010,2010-03-20,222,"Villanova",FALSE,2608,"Saint Mary's",TRUE
"159",2010,2010-03-19,120,"Maryland",TRUE,248,"Houston",FALSE
"160",2010,2010-03-19,194,"Ohio State",TRUE,2540,"UCSB",FALSE
"161",2010,2010-03-19,25,"California",TRUE,97,"Louisville",FALSE
"162",2010,2010-03-19,183,"Syracuse",TRUE,261,"Vermont",FALSE
"163",2010,2010-03-19,127,"Michigan St",TRUE,166,"New Mexico St",FALSE
"164",2010,2010-03-19,150,"Duke",TRUE,2029,"AR-Pine Bluff",FALSE
"165",2010,2010-03-19,197,"Oklahoma St",FALSE,59,"Georgia Tech",TRUE
"166",2010,2010-03-19,2250,"Gonzaga",TRUE,52,"Florida St",FALSE
"167",2010,2010-03-19,245,"Texas A&M",TRUE,328,"Utah State",FALSE
"168",2010,2010-03-19,275,"Wisconsin",TRUE,2747,"Wofford",FALSE
"169",2010,2010-03-19,221,"Pitt",TRUE,2473,"Oakland",FALSE
"170",2010,2010-03-19,228,"Clemson",FALSE,142,"Missouri",TRUE
"171",2010,2010-03-19,2509,"Purdue",TRUE,2561,"Siena",FALSE
"172",2010,2010-03-19,218,"Temple",FALSE,172,"Cornell",TRUE
"173",2010,2010-03-19,2752,"Xavier",TRUE,135,"Minnesota",FALSE
"174",2010,2010-03-19,277,"West Virginia",TRUE,2415,"Morgan St",FALSE
"175",2010,2010-03-18,167,"New Mexico",TRUE,149,"Montana",FALSE
"176",2010,2010-03-18,2305,"Kansas",TRUE,2329,"Lehigh",FALSE
"177",2010,2010-03-18,2633,"Tennessee",TRUE,21,"San Diego St",FALSE
"178",2010,2010-03-18,251,"Texas",FALSE,154,"Wake Forest",TRUE
"179",2010,2010-03-18,269,"Marquette",FALSE,264,"Washington",TRUE
"180",2010,2010-03-18,46,"Georgetown",FALSE,195,"Ohio",TRUE
"181",2010,2010-03-18,96,"Kentucky",TRUE,2193,"ETSU",FALSE
"182",2010,2010-03-18,2439,"UNLV",FALSE,2460,"Northern Iowa",TRUE
"183",2010,2010-03-18,2086,"Butler",TRUE,2638,"UTEP",FALSE
"184",2010,2010-03-18,257,"Richmond",FALSE,2608,"Saint Mary's",TRUE
"185",2010,2010-03-18,2306,"Kansas St",TRUE,249,"North Texas",FALSE
"186",2010,2010-03-18,239,"Baylor",TRUE,2534,"Sam Houston",FALSE
"187",2010,2010-03-18,238,"Vanderbilt",FALSE,93,"Murray St",TRUE
"188",2010,2010-03-18,222,"Villanova",TRUE,2523,"Robert Morris",FALSE
"189",2010,2010-03-18,87,"Notre Dame",FALSE,295,"Old Dominion",TRUE
"190",2010,2010-03-18,252,"BYU",TRUE,57,"Florida",FALSE
"191",2010,2010-03-16,2029,"AR-Pine Bluff",TRUE,2737,"Winthrop",FALSE
"192",2011,2011-04-04,41,"UConn",TRUE,2086,"Butler",FALSE
"193",2011,2011-04-02,41,"UConn",TRUE,96,"Kentucky",FALSE
"194",2011,2011-04-02,2086,"Butler",TRUE,2670,"VCU",FALSE
"195",2011,2011-03-27,153,"North Carolina",FALSE,96,"Kentucky",TRUE
"196",2011,2011-03-27,2305,"Kansas",FALSE,2670,"VCU",TRUE
"197",2011,2011-03-26,41,"UConn",TRUE,12,"Arizona",FALSE
"198",2011,2011-03-26,57,"Florida",FALSE,2086,"Butler",TRUE
"199",2011,2011-03-25,52,"Florida St",FALSE,2670,"VCU",TRUE
"200",2011,2011-03-25,194,"Ohio State",FALSE,96,"Kentucky",TRUE
"201",2011,2011-03-25,2305,"Kansas",TRUE,257,"Richmond",FALSE
"202",2011,2011-03-25,153,"North Carolina",TRUE,269,"Marquette",FALSE
"203",2011,2011-03-24,275,"Wisconsin",FALSE,2086,"Butler",TRUE
"204",2011,2011-03-24,150,"Duke",FALSE,12,"Arizona",TRUE
"205",2011,2011-03-24,57,"Florida",TRUE,252,"BYU",FALSE
"206",2011,2011-03-24,21,"San Diego St",FALSE,41,"UConn",TRUE
"207",2011,2011-03-20,87,"Notre Dame",FALSE,52,"Florida St",TRUE
"208",2011,2011-03-20,2305,"Kansas",TRUE,356,"Illinois",FALSE
"209",2011,2011-03-20,183,"Syracuse",FALSE,269,"Marquette",TRUE
"210",2011,2011-03-20,2509,"Purdue",FALSE,2670,"VCU",TRUE
"211",2011,2011-03-20,251,"Texas",FALSE,12,"Arizona",TRUE
"212",2011,2011-03-20,194,"Ohio State",TRUE,2244,"George Mason",FALSE
"213",2011,2011-03-20,150,"Duke",TRUE,130,"Michigan",FALSE
"214",2011,2011-03-20,153,"North Carolina",TRUE,264,"Washington",FALSE
"215",2011,2011-03-19,41,"UConn",TRUE,2132,"Cincinnati",FALSE
"216",2011,2011-03-19,275,"Wisconsin",TRUE,2306,"Kansas St",FALSE
"217",2011,2011-03-19,252,"BYU",TRUE,2250,"Gonzaga",FALSE
"218",2011,2011-03-19,221,"Pitt",FALSE,2086,"Butler",TRUE
"219",2011,2011-03-19,21,"San Diego St",TRUE,218,"Temple",FALSE
"220",2011,2011-03-19,257,"Richmond",TRUE,2413,"Morehead St",FALSE
"221",2011,2011-03-19,57,"Florida",TRUE,26,"UCLA",FALSE
"222",2011,2011-03-19,96,"Kentucky",TRUE,277,"West Virginia",FALSE
"223",2011,2011-03-18,183,"Syracuse",TRUE,282,"Indiana St",FALSE
"224",2011,2011-03-18,264,"Washington",TRUE,61,"Georgia",FALSE
"225",2011,2011-03-18,46,"Georgetown",FALSE,2670,"VCU",TRUE
"226",2011,2011-03-18,2439,"UNLV",FALSE,356,"Illinois",TRUE
"227",2011,2011-03-18,2752,"Xavier",FALSE,269,"Marquette",TRUE
"228",2011,2011-03-18,2509,"Purdue",TRUE,2612,"Saint Peter's",FALSE
"229",2011,2011-03-18,153,"North Carolina",TRUE,112358,"Long Island",FALSE
"230",2011,2011-03-18,2305,"Kansas",TRUE,104,"Boston Univ",FALSE
"231",2011,2011-03-18,194,"Ohio State",TRUE,2636,"UTSA",FALSE
"232",2011,2011-03-18,245,"Texas A&M",FALSE,52,"Florida St",TRUE
"233",2011,2011-03-18,150,"Duke",TRUE,2261,"Hampton",FALSE
"234",2011,2011-03-18,12,"Arizona",TRUE,235,"Memphis",FALSE
"235",2011,2011-03-18,2244,"George Mason",TRUE,222,"Villanova",FALSE
"236",2011,2011-03-18,87,"Notre Dame",TRUE,2006,"Akron",FALSE
"237",2011,2011-03-18,130,"Michigan",TRUE,2633,"Tennessee",FALSE
"238",2011,2011-03-18,251,"Texas",TRUE,2473,"Oakland",FALSE
"239",2011,2011-03-17,2306,"Kansas St",TRUE,328,"Utah State",FALSE
"240",2011,2011-03-17,2599,"St John's",FALSE,2250,"Gonzaga",TRUE
"241",2011,2011-03-17,2132,"Cincinnati",TRUE,142,"Missouri",FALSE
"242",2011,2011-03-17,26,"UCLA",TRUE,127,"Michigan St",FALSE
"243",2011,2011-03-17,275,"Wisconsin",TRUE,2057,"Belmont",FALSE
"244",2011,2011-03-17,41,"UConn",TRUE,2083,"Bucknell",FALSE
