
"UC Santa Barbara",108.62542714641,104.40453418374,0.61201087016298,12–5,12,17,51.4,46.3,44.5,37.1,18,14.9,34.1,30.7,62.5,49.2,43.5,37.2,34.5,13.1,6.5,64.2,58.5,33.5,34.5,62.9,,,,2014,,,,-2.2997423548656,70.2,67.7
"Arkansas Pine Bluff",92.430013637764,106.8672599975,0.15854938813731,11–8,11,19,48.6,49.1,47.5,46.1,21,23.4,28.4,30.3,66.9,47,48.9,34.5,32.9,6,11,52.6,58.8,34.7,35.7,66,,,,2014,,,,-6.8810468470992,65.8,67.5
"Portland St.",101.78400997903,111.90570267486,0.25157291620925,12–10,12,22,53,53,40.2,41.3,16.8,19.6,24.6,33.1,65,53.2,52.8,35.1,35.7,5.8,8.3,49.8,51.3,33.2,27.3,66.1,,,,2014,,,,-7.7437465197053,74.4,73.1
Indiana,108.73204363764,95.49723948342,0.81646457000154,7–11,7,18,48.5,49.3,37.3,35.4,21.6,17.5,32.5,28.7,64.9,46.4,49.8,35.5,32.3,9.6,13.4,48.9,44.1,30.7,34.7,66.4,,,,2014,,,,-1.2675326053821,73.4,74.1
Louisiana,111.60509230227,106.21310692398,0.63864095068132,14–7,14,21,52,50.5,44.1,46,18.1,18.5,37.2,30.8,69.3,49.9,49.5,37.7,35,11.1,12.6,48.5,44.4,31.1,31.6,69.5,,,,2014,,,,-3.3797834567193,67.5,69.2
"Central Michigan",106.12305237913,118.14051476216,0.22554018823697,3–16,3,19,49.2,57.7,38.2,42.5,16.9,19.5,28.1,31.2,65.3,49.1,58.8,32.9,37.1,2.7,10.5,49,52.1,45.7,36.3,65.6,,,,2014,,,,-12.164188447694,67.3,74.2
Brown,100.53235302842,100.60852879111,0.49782238258546,8–9,8,17,47.6,45.4,35.2,37.3,17.1,16.5,28.6,28.2,67.8,44.2,44.5,37.1,31.4,12.3,12.1,51.7,50.9,29.5,32.5,69.4,,,,2014,,,,-4.5930641014641,69.5,69.2
Columbia,106.2796069245,104.86203483663,0.53852865254916,10–6,10,16,51.3,48.5,47,42.8,19.2,16.7,27.5,26.6,62.2,50.2,46.6,35.2,35.5,7.3,11.9,56,44.7,43,27.9,62.2,,,,2014,,,,-2.7402148273859,79.8,70
"UC Irvine",102.36238828327,95.105931426894,0.69963745679852,15–4,15,19,51.5,39.5,34,38,18.7,15.8,32.7,31.5,61.6,51.1,37.8,35,29.3,15.5,5.9,59.5,48.2,30.2,26.9,61.9,,,,2014,,,,-1.2102372468837,65.4,72.7
Furman,92.428588389253,113.35095261944,0.087336147144652,3–14,3,17,49.2,52,45,32.3,21.7,16.3,25,32.3,65.5,50.4,49.8,31.1,37.6,8.8,9.5,44.2,52.4,31.9,33.2,65.4,,,,2014,,,,-12.273776937059,66.6,72.2
UAB,102.71569031901,103.66526336024,0.4735683283948,7–10,7,17,45.5,48.3,41.4,34.4,18.1,17.5,37.2,31,68.2,45.9,46.5,29.7,34.9,10.5,8.4,48.1,52.6,28.8,31.9,68.2,,,,2014,,,,-6.3039780627374,60.4,65.6
Tulane,98.017246545501,106.88950065335,0.26963017731073,10–9,10,19,46.8,47.8,47.2,43.2,21.1,16.2,29,33,62.8,42.6,47.2,36,32.7,8.5,10.1,47.7,55.3,37.4,32.7,62.5,,,,2014,,,,-4.5431919106855,67.1,68.9
FIU,100.73122520807,106.67608690489,0.34086909806016,7–10,7,17,49.3,48.9,41.5,38.9,19.7,19.3,30.1,34.7,67.1,50.6,49.3,30.7,31.9,9.7,9.4,43.9,54.2,29,29.3,66.8,,,,2014,,,,-6.4379079011397,66.1,68.8
BYU,117.47009987815,101.5778809058,0.84179133344999,15–4,15,19,51.7,50.4,51.8,38.9,16,17.6,37.6,29.7,68.8,50.4,48.2,37.3,36.5,6.8,7.5,52.2,54.8,23.7,33.5,69.2,,,,2014,,,,2.303487187992,70.5,70.2
"Illinois Chicago",100.1360940034,106.67229043139,0.32581844849818,1–16,1,17,45.3,53.3,41.5,51.8,20.1,17.3,31.9,27.3,65.5,44.4,49.7,31.6,40.4,5.4,12.7,53,58.9,30.6,33.1,65.4,,,,2014,,,,-12.077470998187,71,66.4
Xavier,114.55912525535,102.47029947704,0.78286786287551,10–9,10,19,52.3,52.4,41.8,38.4,18,16.4,32.6,29.1,65.1,52.6,49.8,34.4,37.8,5.1,10.2,57.9,64.5,27.8,39,65.6,,,,2014,,,,0.19049852511657,72.4,71.3
Charlotte,100.80072939536,103.92482550159,0.41313861960043,9–10,9,19,50.4,49.8,36.9,40.1,21.5,17.3,31.8,28,69.4,49,49.1,35.6,34.2,5.5,8.3,56.2,49.2,31.5,33.5,68.9,,,,2014,,,,-5.8975532951126,62.2,62.8
Canisius,112.89244745191,108.46011143072,0.61315904076726,13–7,13,20,53.5,51.5,40.7,35.9,16.9,19.9,32.8,35.6,67.9,52.1,49.9,37.3,36.1,11.2,7.3,47.6,58.3,37.4,38.4,66.1,,,,2014,,,,-2.9109090544029,76.2,69.4
"Wake Forest",108.67121387918,103.43460429138,0.63829110356148,7–13,7,20,49.9,50.1,52.4,40.8,19.3,16.9,26.8,39.3,65.3,50.5,49.9,32.3,33.7,7.9,10.7,56.6,51.9,29.8,31,67.1,,,,2014,,,,-2.5594982015173,67.1,71
"Florida Atlantic",102.69219486712,106.32328326156,0.40140746957519,6–12,6,18,48.9,46,33.8,41.4,19.9,17,31.9,35.1,64.3,47.1,45.3,34.5,31.9,13.2,8.1,51.7,45.4,38.4,27.3,64,,,,2014,,,,-8.1987309163432,66.3,71
Northeastern,99.333459515433,104.39246645694,0.36094544299965,8–11,8,19,47.5,50.5,42.6,33,19.3,16.1,31.5,29.2,63.6,46.3,48.2,33.7,36.8,8.4,13.4,49.9,49,29.3,33,64.4,,,,2014,,,,-7.2101946585919,65,69.9
"Robert Morris",102.65322545945,104.40455846799,0.45151709177499,16–4,16,20,49.9,50.6,36.3,27.9,17.2,20.7,32,29.4,64.7,47,52.1,37.4,32.2,5.5,9.9,46.1,55.9,31.9,39.4,64.1,,,,2014,,,,-1.7129261686947,75.9,67.7
