
"UC Santa Barbara",111.57515277778,105.79669444444,0.64829650845614,9–3,9,12,54.5,50.6,35.9,33.7,15.4,17,28.2,29.5,69.7,51.6,50.2,39.8,34.2,11.4,7.4,55.1,55.6,36.2,37.4,70.2,,,,2018,,,,-0.18660014328015,67.9,66.7
"Arkansas Pine Bluff",89.679860607903,114.44486657179,0.057095476810143,0–14,0,14,45.7,55,31.4,48.5,22.6,22.1,22.2,39.1,67.8,45.4,54.3,30.7,37.5,9.2,6.3,49.7,70.3,39,38.2,69.5,,,,2018,,,,-10.107676121347,69.3,75.2
"Portland St.",110.85195454545,104.18189393939,0.67120893769211,7–4,7,11,50.1,54.4,36.5,45.5,15.8,24.8,33.3,34.8,78.9,46.2,55.9,37.5,34,10.7,12.5,53.3,52.4,38.6,30.8,79.6,,,,2018,,,,-0.81842279930075,67.3,68.8
Indiana,108.66990727399,103.46332733885,0.63752163517324,8–6,8,14,52,51.3,38.6,30.2,18.6,19.2,35,29.5,69,55.1,47.5,30.7,38,15.1,7.9,52,53.6,33.9,40.1,68.4,,,,2018,,,,-1.8790841739626,66.1,70.2
Louisiana,109.94808080996,103.04367254597,0.67827084308984,10–3,10,13,52.2,51.3,40.9,38.7,19,19.7,36.8,29.9,74,53.8,51.2,33,34.3,9.4,6.8,64.2,42.5,36,30.8,72.2,,,,2018,,,,-0.22570779757012,73.2,68.7
"Central Michigan",105.62568333333,103.04611666667,0.57060910711249,8–2,8,10,50.9,46.7,38.2,20.9,19.6,18.6,32.6,31.4,66.8,51.2,48,33.7,30,11.4,9.2,52.7,49.6,46.4,42.2,67.2,,,,2018,,,,-0.5545788492622,80,72.4
Brown,101.30114697913,104.93144606195,0.40013338991564,5–6,5,11,49.5,53.4,41.5,36,20.1,19.5,28.4,26.2,73.6,49.4,55.1,33.2,33.5,6.6,13,54,49.5,39,34.9,73.6,,,,2018,,,,-3.7709426298174,77.1,66.2
"Wright St.",95.237319265191,92.541189418631,0.5818220129371,8–5,8,13,46.2,49.4,36.6,28.7,20.6,23.6,29.1,25.3,69.5,46,47.5,31.2,35.2,5.1,7.8,52.3,51,33.7,36.7,70.1,,,,2018,,,,-1.8422726279389,68.3,69.1
"UC Irvine",97.642476190476,101.51998809524,0.3898731025441,3–11,3,14,47,47.7,31.8,44,22.3,13.6,32.8,28.3,70,44.3,43.7,35,36.6,12.3,7.7,50.6,57.3,32.2,35.5,69.5,,,,2018,,,,-5.7523759244307,66.5,69.6
Montana,103.91236627243,96.648358253571,0.6970712433973,7–5,7,12,47.9,47.6,35.2,49.8,19.1,23.6,36.2,27.3,70.5,50.7,44.8,27.9,36.4,11.7,12.8,46.1,44.7,31.5,28,70.9,,,,2018,,,,-1.9872764790885,71.9,73.9
UAB,111.2835239686,102.8351243823,0.7125853599392,7–5,7,12,55.2,50.3,33.2,29.4,17.8,18.1,33.6,25.2,68,55.2,48.2,36.9,35.4,10.6,7.7,58.5,50.3,34.6,42.4,68,,,,2018,,,,-2.6769745943613,78.4,69.8
Tulane,104.26005601826,98.506887761354,0.65763242510356,10–4,10,14,53.2,47.4,36.1,27.2,19.7,17.7,26,27.8,72.8,51.6,48,37.2,30.9,12.4,8.7,64.1,44.8,37.6,34.7,72.1,,,,2018,,,,-1.0323329296213,71.9,67.6
FIU,95.443196969697,101.52859090909,0.3294208929505,4–7,4,11,47.4,50.9,36.2,31.9,15.7,21.1,23.7,25.3,71.2,47.9,50,30.8,34.9,9.4,8.9,42.5,56.4,31.3,39.6,70.8,,,,2018,,,,-5.8934293160627,61.1,68.8
BYU,106.20364384625,96.642582651589,0.74741977473718,12–3,12,15,54.1,50.1,40.3,28.1,17.4,18.6,25.2,23,68.4,53.6,50.7,36.6,32.8,12.1,8.8,61,49.2,34.6,36.5,68.6,,,,2018,,,,-0.19305642110435,74.6,64.6
