
"UC Santa Barbara",104.93697222222,105.68254166667,0.47965679664974,9–3,9,12,52.6,48,44.4,40.4,17.3,15.9,34.2,27.8,65.7,52,49.9,35.9,30.2,9.9,7.5,52.8,48.9,32.1,40.4,65.9,,,,2019,,,,-1.1729985049901,71.6,68.7
"Arkansas Pine Bluff",93.363327556692,113.4556016048,0.096085271345044,2–10,2,12,44.8,56.9,35.9,40.6,21.6,17.7,26,29.6,68.8,42.9,55.5,32.3,39.5,5.8,9,42.9,58.7,34.8,36.8,70.1,,,,2019,,,,-5.9715006720113,71.1,69.9
Toledo,111.28330809983,95.885895037737,0.84717119403926,11–1,11,12,54.4,45.5,30.9,22.6,16.9,16,31.1,24.8,70.2,50.6,47,39.8,28.5,9,9.5,60.8,44.4,41.4,34.7,69.6,,,,2019,,,,1.1179113965387,78.9,63.9
Indiana,108.69546976089,92.430949838079,0.86576421403151,11–2,11,13,58.8,45.6,36,25.9,20.1,20.6,26,26.3,72.2,60.4,46.2,37,29.7,12.1,6.9,54.1,51.3,32.2,37.6,71.1,,,,2019,,,,1.9982750267485,63.5,59.9
Louisiana,104.10295580988,102.11304660374,0.55526046157121,7–4,7,11,49.9,50.8,33.3,33.2,19.1,22.4,29.5,35.9,74.6,48.8,48.8,34.3,36.7,10.5,10.9,50,49,40.3,32.6,74.6,,,,2019,,,,-1.1260959739229,75.3,71.6
"Central Michigan",103.41148291502,104.71592244055,0.46402365416855,8–2,8,10,50.8,48.9,46.6,33.3,16.8,21.9,33.7,33.6,73.1,51,50.4,33.6,30.8,10.2,12.8,48,43.8,37.3,35.7,72.6,,,,2019,,,,-0.52255803456638,64.8,63.2
Brown,99.534611426167,93.626841894,0.66900000521966,8–4,8,12,51.8,43,38.7,33.6,21.1,19.3,27.7,29,72.7,53.7,45.4,32.9,26,13.2,10.2,57.9,45.2,42.2,37.8,72.4,,,,2019,,,,-1.7537935901486,67.6,67.9
"Wright St.",107.97579783504,104.49103209079,0.59321385494425,5–8,5,13,51.9,55.9,35.3,31,17.5,20.3,28.3,27.5,66.9,47.8,52.7,38.1,40.6,5.3,8.7,55.7,41.6,43.2,39,66.5,,,,2019,,,,-4.5444893415069,73.2,66.7
"UC Irvine",100.53029349114,96.213745348773,0.62356300293204,10–4,10,14,48.1,44.8,31.9,34.4,18.5,18.4,32.2,27.7,66.5,46.3,40.9,34.5,34.7,11.6,8.1,45.9,45.1,32.4,35.3,67.4,,,,2019,,,,-0.054376335106404,70,74.1
Furman,103.40913130429,98.077604763439,0.64765412585618,9–2,9,11,53.7,49.6,22.1,23.7,18.3,20,29.9,28.1,67.9,55,49.5,34.7,33.2,12.5,12.9,56.1,50.7,44.4,38.8,68.7,,,,2019,,,,0.8206379276429,66.9,62.7
