"","season","team_id","team_name","conf_perf","fgpct","threeptpct","ftpct","treb","oreb","dreb","ast","stl","blk","to","pers_fouls","ppg","opp_ppg","opp_fgpct","opp_threeptpct","efgpct","mov","pace","unadj_off_eff","unadj_def_eff","starters","starters_shooting_threes_pct","three_pt_shooters_at_35pct_pct","extraScoreChances","oppTO_teamTO_ratio","ast_TO_ratio","foul_outs","adj_bayes_win_rate_close","close_pct","blowout_pct","healthy_rate","pct_guards","kill_shot_count","coach_career_adj_win_pct","coach_career_log_games_total","coach_career_adj_march_eff","coach_curr_school_march_eff","avg_team_exp","smdi","womens_team_tourney_flag","Conference","power_conf","power_conf_extra","AdjOE","AdjDE","BARTHAG","WAB","tourney_summary","tourney_perf","wlpct","pyth_exp","luck","deep_run"
"1",2008,6,"South Alabama","Semifinals - L",0.476432028314316,0.366839912922343,0.702560740670813,40.5826923076923,12.2534615384615,25.2559615384615,15.7388461538462,6.30134615384615,3.10942307692308,13.8398076923077,16.8884615384615,75.4884615384615,64.0105769230769,0.41344895577119,0.325617322778042,0.540593399499516,11.4778846153846,66.8502519230769,1.12971455273599,0.957354772541608,7,0.5,0.708333333333333,2.24461538461538,1.04731378115187,1.14409137746354,4,0.609740645967175,0.289807692307692,0.227884615384615,0,0.571428571428571,8.2,0.595462507944662,5.8636311755981,0.978664086133734,1,2.44444444444444,0,0,"Other",0,0,110.64376225954,97.9399865051095,0.80129713457439,-0.084721417960663,"R64","R64 - L",0.806451612903226,0.788705964641276,-0.01774564826195,0
"2",2008,8,"Arkansas","Final - L",0.468004818750507,0.33005949274606,0.675556208638105,39.8066433566434,13.0384615384615,24.1784090909091,15.1380244755245,7.31398601398601,5.425,15.7500874125874,18.4939685314685,74.1982517482517,65.0341783216783,0.409358944071072,0.323948881174423,0.520200945036786,9.16407342657343,69.9698715034965,1.06043509557964,0.930314037337166,7.5,0.444642857142857,0.35,2.4576048951049,1.00027893267166,0.967794959133446,1.7,0.658014698632224,0.205506993006993,0.323951048951049,0.103989754276287,0.401785714285714,3.5,0.552880678951232,4.99721227376411,0.834055218798919,0,2.88888888888889,0.4,0,"SEC",1,1,107.348022775685,91.7053031005535,0.85950631562706,0.27887060487416,"R32","R32 - L",0.6875,0.707957390433897,0.0204573904338969,0
"3",2008,12,"Arizona","Quarterfinals - L",0.481753219050961,0.390521458629067,0.747806520494775,34.580303030303,8.33106060606061,23.2651515151515,16.0030303030303,5.41136363636364,3.62651515151515,12.5409090909091,16.4295454545455,72.4469696969697,66.3916666666667,0.436935568156294,0.348368027140063,0.548088402843715,6.05530303030303,65.8794696969697,1.10010360909361,1.00979397855126,7.5,0.473214285714286,0.708333333333333,-2.29015151515152,1.04191950464396,1.28569954297508,2.2,0.28337030218557,0.261363636363636,0.137878787878788,0.406042495559997,0.535714285714286,4.9,0.48397238288968,5.76205138278018,1.92342000439991,0,2.55555555555556,0,0,"Other",0,0,114.559845813135,94.0074347410845,0.90599423241943,0.727690813229971,"R64","R64 - L",0.5625,0.662128702736143,0.0996287027361425,0
"4",2008,24,"Stanford","Final - L",0.457296394992445,0.372718893494364,0.69614836238132,41.9125,13.0041666666667,25.725,14.5083333333333,4.5625,5.11666666666667,12.7583333333333,16.8,71.4791666666667,59.1666666666667,0.39505272194455,0.325473484848485,0.510600198108935,12.3125,64.7542916666667,1.1033546084206,0.91442926071267,7.5,0.358928571428571,0.7,2.70833333333333,0.970119747220813,1.13852114949952,1,0.755821743685676,0.216666666666667,0.304166666666667,0.0909108458052717,0.392857142857143,4.5,0.539702328572501,5.50533153593236,1.53143734520072,1,2.8,0.2,1,"Other",0,0,110.69017917077,88.652499250713,0.92689112688734,3.34921846190885,"S16","S16 - L",0.78125,0.785268175385857,0.00401817538585669,0
"5",2008,26,"UCLA","Final - W",0.491424872595759,0.352181372908448,0.735028782526349,39.0150641025641,12.1814102564103,24.0451923076923,15.2358974358974,7.17532051282051,3.75160256410256,12.6233974358974,13.749358974359,75.436217948718,57.9554487179487,0.420964597443816,0.336312787722201,0.544162307101683,17.4807692307692,65.3679118589744,1.15359166761405,0.886640249966927,7.5,0.455555555555556,0.5,6.61089743589744,1.20389293289456,1.20448586614146,2,0.703522132000102,0.181089743589744,0.470192307692308,0.157896053169123,0.472222222222222,8.5,0.644110275689223,5.99146454710798,3.5,4.66666666666667,2.66666666666667,0,0,"Other",0,0,115.02678411939,86.0355205671455,0.965783359176735,5.3550054732749,"F4","F4 - L",0.939393939393939,0.885094582871835,-0.0542993565221043,1
"6",2008,30,"USC","Semifinals - L",0.478228984825786,0.388005514865681,0.680859010270775,38.1,9.40666666666667,24.9833333333333,12.41,5.825,4.27166666666667,14.6833333333333,15.5583333333333,69.4016666666667,62.44,0.390774891183417,0.304992905033157,0.536801000769675,6.96166666666667,66.82975,1.03881893896302,0.936008869734203,7,0.428571428571429,0.6,-3.82166666666667,0.929441773381504,0.84423850191673,4.9,0.573774112071101,0.198333333333333,0.24,0.247449329071046,0.571428571428571,4.1,0.645454545454546,6.08904487544685,1.66666666666667,3,1.875,0,0,"Other",0,0,106.881853970785,88.797324174288,0.89329156006578,1.78994964062084,"R64","R64 - L",0.645161290322581,0.679604620224546,0.0344433299019652,0
"7",2008,41,"UConn","Quarterfinals - L",0.464679110833707,0.361989459815547,0.711092890643452,47.58,14.0836363636364,29.1218181818182,15.4581818181818,6.03181818181818,8.98272727272727,13.8109090909091,15.5236363636364,78.9490909090909,67.6990909090909,0.37539374149713,0.337063997717763,0.511657316375513,11.25,70.3438681818182,1.1228973973311,0.964731489295283,7,0.485714285714286,0.446666666666667,-2.14363636363636,0.91894663480685,1.11671047391477,2.5,0.725372369670817,0.305454545454545,0.211818181818182,0.120370860748782,0.571428571428571,6.1,0.695652173913043,6.98656645940643,3.05263157894737,3.78571428571429,2.22222222222222,0,1,"Big East",0,1,112.854520265195,94.160115262546,0.885877660103265,2.16998397717902,"R64","R64 - L",0.75,0.744631319163609,-0.00536868083639053,0
"8",2008,44,"American","Final - W",0.438123575615178,0.398887799208165,0.743036480686695,35.8974358974359,9.54358974358974,22.6282051282051,11.85,4.61923076923077,2.5525641025641,13.9294871794872,17.6371794871795,65.075641025641,62.5141025641026,0.419608590607666,0.36067279657034,0.520277343748555,2.56153846153846,61.9478076923077,1.05115624340327,1.00926851857727,7.5,0.492857142857143,0.7,-1.72051282051282,0.898800747371827,0.850520796985135,2.4,0.530473579257037,0.21025641025641,0.115384615384615,0.16112900751649,0.330357142857143,1.3,0.547252747252747,6.12249280951439,1.8,0,2.44444444444444,0.2,0,"Other",0,0,104.282244492506,103.92213620333,0.50765765627046,-2.8432002283416,"R64","R64 - L",0.645161290322581,0.605425352166788,-0.0397359381557929,0
"9",2008,46,"Georgetown","Final - L",0.489005258019282,0.386154043844858,0.655126761402568,38.7541666666667,9.86628787878788,25.6299242424242,15.7469696969697,7.31856060606061,4.90492424242424,12.9587121212121,16.8670454545455,70.3170454545455,56.7867424242424,0.366049529826756,0.292814701638231,0.567177611377946,13.530303030303,62.7615018939394,1.12031916254281,0.904917126108951,8,0.507936507936508,0.825,-2.24090909090909,0.984592019364359,1.23626755892041,3.2,0.730506112014531,0.183333333333333,0.281439393939394,0.0279134039613082,0.563492063492063,7.8,0.653650612884548,5.36129216570943,2.57261223115384,4.75,2.44444444444444,0,0,"Big East",0,1,113.87713717683,88.3494454707055,0.948439783407445,3.830334308219,"R32","R32 - L",0.838709677419355,0.826920957775942,-0.0117887196434132,0
"10",2008,61,"Georgia","Final - W",0.437713599160185,0.330186885831696,0.679112275158671,42.0530303030303,13.5545454545455,24.8121212121212,11.9659090909091,6.89166666666667,3.5905303030303,15.0950757575758,17.1689393939394,69.0348484848485,66.4715909090909,0.423374734626043,0.323921439361641,0.49322852569436,2.56325757575758,67.469946969697,1.02332493589222,0.98544047399242,8.5,0.354166666666667,0.433333333333333,-0.0727272727272727,0.88712335988926,0.790705729895298,2.4,0.374099155660971,0.170454545454545,0.0909090909090909,0.267372508251341,0.534722222222222,2.7,0.575900298396026,5.62040086571715,0.93806795008577,0,2.3,0,1,"SEC",1,1,102.175652278975,95.5130294990695,0.67854530788798,-1.918305650449,"R64","R64 - L",0.483870967741935,0.519428841196041,0.035557873454106,0
