X1,Team ID
Colorado,38
Colorado St.,36
USC,30
UC San Diego,28
UC Riverside,27
UCLA,26
California,25
Stanford,24
San Jose St.,23
San Diego St.,21
Sacramento St.,16
Cal Poly,13
Arizona,12
Arizona St.,9
Arkansas,8
South Alabama,6
UAB,5
Auburn,2
