
"UC Santa Barbara",108.36022967504,101.93028486066,0.6689585370871,15–5,15,20,52.3,45.1,33.7,30.6,18,18.2,37.3,34.3,63.1,48.3,41.9,39.7,33.9,13.2,5.6,61.7,60.8,35.5,36.3,63.7,,,,2012,,,,-1.399775284223,69.7,67.2
"Arkansas Pine Bluff",92.498313170818,113.19383701421,0.089318865405366,10–10,10,20,46.8,47.2,49.7,43.1,19.9,21.7,31.4,34.2,66.3,47.8,44.6,29.6,35.1,12.7,7.7,55,53.3,27.6,32.6,65.7,,,,2012,,,,-9.2803347272365,64.4,61.9
"Portland St.",107.84506874874,109.63084649677,0.4529233477527,11–7,11,18,55.9,50.5,46.2,30.7,19.6,16.3,31.8,32.9,66.9,53.7,51,40.5,32.8,8,6.4,47,49.1,32,30.7,66.2,,,,2012,,,,-4.6220089734581,73.3,71.2
Indiana,118.87715270585,98.998449442911,0.8913246840961,12–7,12,19,53.5,50,46.7,32.4,19.6,16.6,35.4,29.8,64.6,49.6,47,42.3,37.1,9,11.3,50.1,48.6,28,34.5,66.4,,,,2012,,,,2.0990341728429,78.6,71.1
Louisiana,92.748340667302,94.741857561374,0.43916290031571,9–7,9,16,45.4,44,47.9,37,23.1,17.6,33.3,29.5,69.8,45,42.7,30.9,31.9,10.7,10.6,43.8,38,30.5,24.2,70.5,,,,2012,,,,-3.6839607442449,61.8,67.4
"Central Michigan",95.452495741354,107.24109326436,0.20764422789049,6–13,6,19,44.3,52.2,33.1,48.4,17.9,22.5,33,33,63.3,41.6,48.4,32.8,39.7,7.3,8.7,44.1,57,35.7,34.4,64.5,,,,2012,,,,-9.300976643911,64.9,67.7
Brown,95.712742446837,111.42758820554,0.14826549232971,3–14,3,17,46.5,54.6,25.1,26.8,17.5,17.1,26.6,27.6,63.6,41.5,50.6,36.8,41.9,7.3,7.9,53.6,55.1,37,32.8,64.9,,,,2012,,,,-10.466812390191,61.8,74
"Wright St.",94.424877536041,98.229749328153,0.388338353991,5–11,5,16,46.2,52.8,37.6,44.1,21.2,25.7,24.8,29.8,61.9,42.9,56,35.1,31.8,5,12.6,47.6,56.6,34.1,38.7,62.6,,,,2012,,,,-6.8604516935463,70.9,68.7
"UC Irvine",96.426642255084,106.05268174685,0.25081610023726,8–11,8,19,50.1,48.7,32.4,35.9,21.1,18.1,30.3,32.9,68.6,47.8,44.6,35.7,38.4,12.3,8,64.2,51.6,40.2,31.5,68.6,,,,2012,,,,-7.3936651036512,62.8,73.1
Montana,101.39111895767,92.281875904169,0.74698267514674,16–1,16,17,55.8,43.7,39.2,34.3,18.6,23.9,27.4,30.5,67,54,42.7,39.7,30.7,8.9,8.6,54.4,44.7,32.2,29.7,66.3,,,,2012,,,,0.91647940681845,73.4,69.2
UAB,102.11664378032,97.660379959152,0.62553933204545,10–9,10,19,48.1,48.8,33.2,27.7,20.1,18.1,32.8,30.2,60.8,44.7,45.9,36.4,36.4,7.5,11.5,54.7,52.2,34.1,32.7,61.6,,,,2012,,,,-2.2260999916992,69.3,67.6
Tulane,97.868343464355,103.9576312638,0.33311202026708,3–14,3,17,46.8,51.8,37.8,38.8,20.1,21.2,27.9,33.9,63.4,46.9,50.9,31.1,35.8,7.2,12.7,52.9,60.4,34.5,30.8,64.8,,,,2012,,,,-9.0939864801698,65.6,70.7
