"","season","team_id","team_name"
"204",2013,167,"New Mexico"
"205",2013,2670,"VCU"
"206",2013,36,"Colorado St"
"207",2013,2439,"UNLV"
"208",2013,197,"Oklahoma St"
"209",2013,235,"Memphis"
"210",2013,221,"Pitt"
"211",2013,2086,"Butler"
"212",2013,68,"Boise St"
"213",2013,256,"James Madison"
"214",2013,2393,"MTSU"
"215",2013,2335,"Liberty"
"216",2014,41,"UConn"
"217",2014,275,"Wisconsin"
"218",2014,57,"Florida"
"219",2014,130,"Michigan"
"220",2014,127,"Michigan St"
"221",2014,12,"Arizona"
"222",2014,258,"Virginia"
"223",2014,97,"Louisville"
"224",2014,66,"Iowa State"
"225",2014,24,"Stanford"
"226",2014,156,"Creighton"
"227",2014,26,"UCLA"
"228",2014,2633,"Tennessee"
"229",2014,2724,"Wichita St"
"230",2014,2305,"Kansas"
"231",2014,222,"Villanova"
"232",2014,183,"Syracuse"
"233",2014,21,"San Diego St"
"234",2014,96,"Kentucky"
"235",2014,2670,"VCU"
"236",2014,153,"North Carolina"
"237",2014,235,"Memphis"
"238",2014,2250,"Gonzaga"
"239",2014,113,"UMass"
"240",2014,167,"New Mexico"
"241",2014,239,"Baylor"
"242",2014,150,"Duke"
"243",2014,251,"Texas"
"244",2014,201,"Oklahoma"
"245",2014,139,"Saint Louis"
"246",2014,2483,"Oregon"
"247",2014,2132,"Cincinnati"
"248",2014,38,"Colorado"
"249",2014,194,"Ohio State"
"250",2014,2640,"Texas Southern"
"251",2014,2752,"Xavier"
"252",2014,116,"Mount St Mary"
"253",2015,150,"Duke"
"254",2015,96,"Kentucky"
"255",2015,97,"Louisville"
"256",2015,275,"Wisconsin"
"257",2015,201,"Oklahoma"
"258",2015,2250,"Gonzaga"
"259",2015,12,"Arizona"
"260",2015,87,"Notre Dame"
"261",2015,120,"Maryland"
"262",2015,2305,"Kansas"
"263",2015,258,"Virginia"
"264",2015,153,"North Carolina"
"265",2015,46,"Georgetown"
"266",2015,222,"Villanova"
"267",2015,2752,"Xavier"
"268",2015,26,"UCLA"
"269",2015,2507,"Providence"
"270",2015,21,"San Diego St"
"271",2015,2294,"Iowa"
"272",2015,2483,"Oregon"
"273",2015,2724,"Wichita St"
"274",2015,277,"West Virginia"
"275",2015,2460,"Northern Iowa"
"276",2015,127,"Michigan St"
"277",2015,8,"Arkansas"
"278",2015,152,"NC State"
"279",2015,254,"Utah"
"280",2015,2132,"Cincinnati"
"281",2015,2670,"VCU"
"282",2015,2567,"SMU"
"283",2015,2086,"Butler"
"284",2015,239,"Baylor"
"285",2015,66,"Iowa State"
"286",2015,68,"Boise St"
"287",2015,2454,"North Florida"
"288",2015,145,"Ole Miss"
"289",2015,2363,"Manhattan"
"290",2016,153,"North Carolina"
"291",2016,201,"Oklahoma"
"292",2016,258,"Virginia"
"293",2016,2305,"Kansas"
"294",2016,2483,"Oregon"
"295",2016,183,"Syracuse"
"296",2016,87,"Notre Dame"
"297",2016,222,"Villanova"
"298",2016,2752,"Xavier"
"299",2016,245,"Texas A&M"
"300",2016,120,"Maryland"
"301",2016,254,"Utah"
"302",2016,66,"Iowa State"
"303",2016,96,"Kentucky"
"304",2016,150,"Duke"
"305",2016,2390,"Miami"
"306",2016,2603,"Saint Joseph's"
"307",2016,251,"Texas"
"308",2016,277,"West Virginia"
"309",2016,275,"Wisconsin"
"310",2016,2294,"Iowa"
"311",2016,127,"Michigan St"
"312",2016,25,"California"
"313",2016,204,"Oregon St"
"314",2016,2168,"Dayton"
"315",2016,2550,"Seton Hall"
"316",2016,30,"USC"
"317",2016,12,"Arizona"
"318",2016,84,"Indiana"
"319",2016,2509,"Purdue"
"320",2016,239,"Baylor"
"321",2016,38,"Colorado"
"322",2016,2641,"Texas Tech"
"323",2016,130,"Michigan"
"324",2016,2582,"Southern"
"325",2016,238,"Vanderbilt"
"326",2016,526,"FGCU"
"327",2017,153,"North Carolina"
"328",2017,2250,"Gonzaga"
"329",2017,57,"Florida"
"330",2017,2305,"Kansas"
"331",2017,96,"Kentucky"
"332",2017,239,"Baylor"
"333",2017,12,"Arizona"
"334",2017,2483,"Oregon"
"335",2017,26,"UCLA"
"336",2017,150,"Duke"
"337",2017,97,"Louisville"
"338",2017,2509,"Purdue"
"339",2017,2086,"Butler"
"340",2017,52,"Florida St"
"341",2017,222,"Villanova"
"342",2017,277,"West Virginia"
"343",2017,2579,"South Carolina"
"344",2017,2390,"Miami"
"345",2017,2132,"Cincinnati"
"346",2017,2168,"Dayton"
"347",2017,156,"Creighton"
"348",2017,2567,"SMU"
"349",2017,8,"Arkansas"
"350",2017,130,"Michigan"
"351",2017,66,"Iowa State"
